condition_name,avg_trigger,std_trigger,mean_Q1,std_Q1,mean_Q2,std_Q2,mean_Q3,std_Q3,n_trials
"No yielding, eHMI off, Distance 1, Can see other person",0.3615567632022378,0.4781571955960917,28.12,28.690921553547852,37.14,29.94417254471653,42.68,31.559105545898202,50
"No yielding, eHMI off, Distance 1, Cannot see other person",0.3872069230601548,0.485504461723321,9.86,19.93766817471135,12.6,21.7612274563767,52.22,31.819189435410358,50
"No yielding, eHMI off, Distance 2, Can see other person",0.3611624669057699,0.4792153639762223,20.14,26.094811432035087,23.34,27.73387378463457,45.6,30.282344826041225,50
"No yielding, eHMI off, Distance 2, Cannot see other person",0.4016149006351774,0.4875610244191405,6.68,18.54992161268437,8.62,20.93711673423199,52.3,29.571256038144032,50
"No yielding, eHMI off, Distance 3, Can see other person",0.3818520621169404,0.4844747280294015,22.54,27.856930402120252,22.52,26.038621236892848,46.98,29.85303457723164,50
"No yielding, eHMI off, Distance 3, Cannot see other person",0.4108623443215933,0.4894500312801052,5.16,16.14268015073642,7.8,19.567778596040828,57.9,28.409002597265342,50
"No yielding, eHMI off, Distance 4, Can see other person",0.4084776297170188,0.4907002322016773,22.5,26.797235617404525,27.78,28.585203822100343,50.34,31.684419656663934,50
"No yielding, eHMI off, Distance 4, Cannot see other person",0.4138564794243957,0.4893362533060578,5.7,13.007454691484435,8.3,18.214425769769655,53.58,30.29857543630373,50
"No yielding, eHMI off, Distance 5, Can see other person",0.3888901028101084,0.485496627488152,18.04,24.91942935108413,25.56,28.75239830280711,46.62,29.448599287572232,50
"No yielding, eHMI off, Distance 5, Cannot see other person",0.3703475899914003,0.4814346278457787,7.24,18.98824555844365,9.42,21.122664102227027,46.76,28.012795909974383,50
"No yielding, eHMI on, Distance 1, Can see other person",0.3852413507262289,0.4846173709197471,22.44,28.288715569488637,30.62,33.02991223180613,71.4,31.927213138254174,50
"No yielding, eHMI on, Distance 1, Cannot see other person",0.4058996216702105,0.4890343973452671,7.28,18.27236119590102,10.02,21.51742530687012,78.56,24.86466224527148,50
"No yielding, eHMI on, Distance 2, Can see other person",0.3984681408738013,0.4884027632229533,19.54,28.723317698201868,19.3,29.201097267613985,63.26,35.93975117172786,50
"No yielding, eHMI on, Distance 2, Cannot see other person",0.4189081034286055,0.4923494925655127,4.86,12.525907845219795,7.74,16.826618853495685,78.16,24.119058430872393,50
"No yielding, eHMI on, Distance 3, Can see other person",0.4113986936982072,0.4890003019782882,20.82,28.92685356451436,24.56,27.99355610981694,75.96,23.827577916938075,50
"No yielding, eHMI on, Distance 3, Cannot see other person",0.4295191386919094,0.4932864578096611,3.24,9.447081397912031,5.78,14.032455092333892,78.2,26.156514777510456,50
"No yielding, eHMI on, Distance 4, Can see other person",0.4269024479926256,0.4933150228492246,19.06,26.212171966162465,25.0,29.10782207796469,76.46,29.152806424922105,50
"No yielding, eHMI on, Distance 4, Cannot see other person",0.382967778241103,0.4843466415739118,4.78,16.032225201074215,7.1,18.915763861102185,80.74,22.898899358631514,50
"No yielding, eHMI on, Distance 5, Can see other person",0.4045410280053254,0.4897143446669498,20.68,27.47201916013262,24.7,28.88206137705124,77.02,23.066443512742286,50
"No yielding, eHMI on, Distance 5, Cannot see other person",0.3971710642735335,0.487157758361285,7.96,19.608369724821745,7.48,16.029615448555575,65.32,33.90770185220401,50
"Yes yielding, eHMI off, Distance 1, Can see other person",0.3087011415791254,0.4609424477829682,23.2,28.966553548701583,24.24,26.43556664180795,53.86,29.447989432772026,50
"Yes yielding, eHMI off, Distance 1, Cannot see other person",0.3120386125183345,0.4616811686100672,10.06,21.628033584556274,10.66,20.38067311780192,49.32,28.061477698301008,50
"Yes yielding, eHMI off, Distance 2, Can see other person",0.3026086756359018,0.4580715225219746,26.5,31.010366930155104,27.32,30.187468680002347,59.88,29.380432194206527,50
"Yes yielding, eHMI off, Distance 2, Cannot see other person",0.3094733343134532,0.4604046875090236,4.36,10.576755414683694,6.36,12.907457107408561,49.78,26.701135036640263,50
"Yes yielding, eHMI off, Distance 3, Can see other person",0.2628910172706098,0.439045867916692,22.34,28.271720925363432,27.68,30.450655969610764,64.56,26.894472537330504,50
"Yes yielding, eHMI off, Distance 3, Cannot see other person",0.2964078692564005,0.4547412639262599,9.56,21.056929636447137,11.9,23.67488120350343,51.86,27.281607768769415,50
"Yes yielding, eHMI off, Distance 4, Can see other person",0.2656544404033875,0.4398113197528848,28.6,31.486958751657355,37.18,29.434597163951157,57.66,27.201898193069592,50
"Yes yielding, eHMI off, Distance 4, Cannot see other person",0.3243907747386553,0.4669869008046374,9.98,22.17876351423605,11.6,22.49444375840399,50.76,28.302707738061425,50
"Yes yielding, eHMI off, Distance 5, Can see other person",0.2284702396558861,0.4178321778664666,34.04,33.09415140387886,43.02,33.329823624753,69.22,26.993037651080567,50
"Yes yielding, eHMI off, Distance 5, Cannot see other person",0.3119004319398355,0.4618003365305801,8.84,20.883896735454876,11.88,24.499595998335003,52.16,26.309275155041302,50
"Yes yielding, eHMI on, Distance 1, Can see other person",0.2523055997306666,0.432345113800891,25.88,29.239084828917836,30.78,30.639636860426,81.18,21.5649848464721,50
"Yes yielding, eHMI on, Distance 1, Cannot see other person",0.2898638414985985,0.4510555551445848,8.3,20.056298313517786,10.94,22.968843138086882,76.3,20.596462941832648,50
"Yes yielding, eHMI on, Distance 2, Can see other person",0.2316514989807971,0.420821455946901,22.28,27.90511620122879,26.68,29.19354136008266,84.42,19.039261261607688,50
"Yes yielding, eHMI on, Distance 2, Cannot see other person",0.2628357636931243,0.4390381449798353,4.76,11.633098451910252,7.82,18.18127540933815,81.92,21.450312780175185,50
"Yes yielding, eHMI on, Distance 3, Can see other person",0.2140395993923778,0.4095760692478761,23.98,28.581776697463606,30.04,30.105230408671243,87.48,14.306042679331593,50
"Yes yielding, eHMI on, Distance 3, Cannot see other person",0.2721270376440155,0.4440437024625115,5.78,17.147963525189354,9.2,22.046333398697634,71.48,26.97938744558103,50
"Yes yielding, eHMI on, Distance 4, Can see other person",0.2105097981735372,0.4065731601692829,26.22,30.529537386950764,31.14,29.553141343439385,83.48,18.900642468294183,50
"Yes yielding, eHMI on, Distance 4, Cannot see other person",0.2820527078299702,0.448039030700038,5.14,13.24804182680965,7.14,17.880567493162822,78.3,20.69235292052973,50
"Yes yielding, eHMI on, Distance 5, Can see other person",0.2129299033578669,0.4075587156335951,29.7,32.17633177555533,33.28,31.5374995450023,88.26,13.505569523839611,50
"Yes yielding, eHMI on, Distance 5, Cannot see other person",0.2807854446747889,0.4472297277646901,3.86,11.00280112757934,8.08,19.867766942092565,78.54,21.63256237947878,50
