participant_id,video_1,baseline_1,baseline_2,video_2,video_3,video_4,video_5,video_6,video_7,video_8,video_9,video_10,video_11,video_12,video_13,video_14,video_15,video_16,video_17,video_18,video_19,video_20,video_21,video_22,video_23,video_24,video_25,video_26,video_27,video_28,video_29,video_30,video_31,video_32,video_33,video_34,video_35,video_36,video_37,video_38,video_39,video_40
101,49.0,0.0,0.0,67.0,39.0,31.0,52.0,32.0,49.0,50.0,26.0,53.0,65.0,77.0,83.0,81.0,81.0,79.0,83.0,70.0,75.0,86.0,74.0,62.0,80.0,74.0,78.0,78.0,73.0,70.0,70.0,43.0,24.0,4.0,14.0,19.0,17.0,12.0,31.0,11.0,9.0,27.0
102,67.0,41.0,7.0,90.0,57.0,40.0,88.0,33.0,88.0,46.0,61.0,91.0,93.0,61.0,91.0,93.0,100.0,77.0,83.0,90.0,68.0,73.0,24.0,7.0,30.0,19.0,44.0,21.0,39.0,30.0,35.0,2.0,2.0,10.0,8.0,50.0,11.0,16.0,21.0,35.0,33.0,20.0
103,51.0,62.0,34.0,58.0,69.0,70.0,67.0,67.0,51.0,58.0,80.0,76.0,82.0,82.0,81.0,75.0,85.0,59.0,82.0,70.0,75.0,71.0,60.0,55.0,65.0,60.0,74.0,75.0,76.0,72.0,71.0,60.0,63.0,50.0,26.0,72.0,60.0,13.0,58.0,72.0,70.0,63.0
104,56.0,66.0,75.0,75.0,65.0,94.0,79.0,72.0,56.0,58.0,58.0,47.0,88.0,96.0,95.0,72.0,92.0,90.0,88.0,61.0,76.0,77.0,65.0,80.0,75.0,87.0,87.0,78.0,74.0,75.0,72.0,74.0,66.0,55.0,78.0,88.0,72.0,66.0,61.0,70.0,78.0,62.0
105,58.0,34.0,0.0,77.0,84.0,40.0,88.0,27.0,22.0,50.0,26.0,50.0,62.0,82.0,93.0,37.0,70.0,50.0,47.0,53.0,39.0,29.0,6.0,0.0,76.0,100.0,100.0,100.0,100.0,100.0,100.0,15.0,25.0,40.0,29.0,62.0,30.0,37.0,31.0,67.0,60.0,33.0
106,38.0,39.0,79.0,29.0,65.0,22.0,74.0,30.0,26.0,38.0,15.0,31.0,91.0,91.0,94.0,95.0,98.0,68.0,93.0,37.0,65.0,60.0,98.0,39.0,98.0,98.0,98.0,96.0,98.0,98.0,98.0,77.0,15.0,35.0,15.0,66.0,66.0,72.0,31.0,71.0,40.0,44.0
107,100.0,33.0,100.0,100.0,100.0,80.0,100.0,100.0,11.0,100.0,80.0,95.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,35.0,100.0,69.0,0.0,0.0,32.0,68.0,100.0,24.0,89.0,90.0,100.0,93.0,48.0
108,100.0,100.0,100.0,97.0,100.0,0.0,100.0,87.0,88.0,100.0,100.0,86.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,86.0,90.0,87.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,91.0,100.0,100.0,100.0,100.0
109,55.0,61.0,42.0,43.0,48.0,55.0,52.0,47.0,58.0,44.0,52.0,48.0,85.0,94.0,100.0,73.0,73.0,92.0,94.0,81.0,95.0,94.0,100.0,100.0,91.0,100.0,96.0,92.0,77.0,89.0,97.0,92.0,58.0,54.0,62.0,60.0,85.0,51.0,67.0,64.0,74.0,46.0
110,13.0,14.0,72.0,18.0,31.0,36.0,52.0,42.0,24.0,33.0,40.0,34.0,92.0,95.0,92.0,93.0,83.0,94.0,89.0,90.0,91.0,91.0,83.0,70.0,88.0,91.0,82.0,83.0,83.0,80.0,83.0,72.0,71.0,32.0,31.0,27.0,56.0,30.0,47.0,25.0,26.0,29.0
