,t,p-value
0,0.0,0.04226353175350186
1,0.1,0.0013490787934973478
2,0.2,0.0027781245740284627
3,0.3,0.04971098531813373
4,0.4,0.39428869186180615
5,0.5,0.771354957661686
6,0.6,0.4377349114406134
7,0.7,0.08906416747359097
8,0.8,0.038417279769090686
9,0.9,0.025984035916795004
10,1.0,0.05889226083486264
11,1.1,0.024229800471469085
12,1.2,0.0003904836428627825
13,1.3,2.211162024420879e-06
14,1.4,1.4704575734371022e-08
15,1.5,3.5214883547150564e-09
16,1.6,5.4906779152315e-08
17,1.7,2.2010556332178064e-08
18,1.8,2.2987122573244704e-06
19,1.9,0.00038403350096635096
20,2.0,0.00163214914192595
21,2.1,0.001168707356184972
22,2.2,0.00017176707366880242
23,2.3,3.3126541033083224e-05
24,2.4,3.279770141731305e-05
25,2.5,8.882777805605906e-05
26,2.6,0.003824900711652027
27,2.7,0.03444028814491228
28,2.8,0.9435045706880795
29,2.9,0.2708778454442857
30,3.0,0.2568917345922126
31,3.1,0.3079285776217262
32,3.2,0.45744521615700795
33,3.3,0.6471185624499809
34,3.4,0.7688259723798595
35,3.5,0.34213587697909054
36,3.6,0.25265059675360924
37,3.7,0.301017765451733
38,3.8,0.3375435233409776
39,3.9,0.39465052444260396
40,4.0,0.8536294392428369
41,4.1,0.801263632147352
42,4.2,0.3941893540291782
43,4.3,0.07145915482812029
44,4.4,0.0314515486093632
45,4.5,0.01620953552286283
46,4.6,0.0054945850679166235
47,4.7,0.0013932307369125777
48,4.8,0.00010935841767407272
49,4.9,7.869339386908332e-06
50,5.0,1.093105380707633e-06
51,5.1,1.2420000453021648e-08
52,5.2,4.757663745545746e-10
53,5.3,7.420343389739591e-10
54,5.4,1.9137698703254232e-08
55,5.5,3.031099825852416e-07
56,5.6,1.6060962023986852e-06
57,5.7,0.00015799967039408403
58,5.8,0.0007496676926379298
59,5.9,0.0004083473350346086
60,6.0,0.00099521011650609
61,6.1,0.0034595644693251083
62,6.2,0.011090437619671838
63,6.3,0.005991420434461758
64,6.4,0.0024492150595189183
65,6.5,0.000878954645819362
66,6.6,0.0017187913417904303
67,6.7,0.0036166519633784883
68,6.8,0.002218115783791603
69,6.9,0.0024497148195942228
70,7.0,0.002466316600271572
71,7.1,0.002160105070599425
72,7.2,0.0020804414691423844
73,7.3,0.002936680388597761
74,7.4,0.0042212907358388846
75,7.5,0.005338009471568631
76,7.6,0.006476601544982246
77,7.7,0.006956128638888491
78,7.8,0.005531389672528493
79,7.9,0.005568620496997864
80,8.0,0.0071497584121738515
81,8.1,0.014024703986682091
82,8.2,0.020694091699040983
83,8.3,0.005099749569351821
84,8.4,0.001021413969163291
85,8.5,0.00042724988322563514
86,8.6,0.002253736605684375
87,8.7,0.005365578239764761
88,8.8,0.017828832756660695
89,8.9,0.05078247680134418
90,9.0,0.09757665692814564
91,9.1,0.17444228864411127
92,9.2,0.25075108026458304
93,9.3,0.3026458832757874
94,9.4,0.31541932592603844
95,9.5,0.29099605871009265
96,9.6,0.281707642468351
97,9.7,0.1633792900339878
98,9.8,0.03889912783426043
99,9.9,0.04851573624913648
100,10.0,0.08452553710020111
101,10.1,0.17263488788814665
102,10.2,0.32841727122236797
103,10.3,0.49028363445220324
104,10.4,0.8115173949014124
105,10.5,0.678058581301891
106,10.6,0.4537573413084568
107,10.7,0.32723991625723015
108,10.8,0.2703225310502046
109,10.9,0.3356772643950695
110,11.0,0.5075381585403773
111,11.1,0.3402915559546298
112,11.2,0.18824824812352287
113,11.3,0.12087552652134427
114,11.4,0.11768607532906909
115,11.5,0.16678152705936117
116,11.6,0.48648990321819563
117,11.7,0.4379926998849827
118,11.8,0.12614554564480399
119,11.9,0.10414918478851144
120,12.0,0.09326208496074764
121,12.1,0.12352443890408832
122,12.2,0.17666928433199747
123,12.3,0.5917584551019679
124,12.4,0.8541733829988243
125,12.5,0.4607165746116755
126,12.6,0.34329347648155606
127,12.7,0.5404142192031941
128,12.8,0.8505584275573916
129,12.9,0.9596934416669978
130,13.0,0.9745414353662718
131,13.1,0.8934584995799986
132,13.2,0.8485511307290482
133,13.3,0.9578661634429926
134,13.4,0.8474943356813377
135,13.5,0.9759074353111654
136,13.6,0.5447204132932828
137,13.7,0.1400213407922571
138,13.8,0.05397265989517792
139,13.9,0.05569567956699547
140,14.0,0.030937480829964517
141,14.1,0.022784534545019924
142,14.2,0.01542555826471017
143,14.3,0.012417026579141602
144,14.4,0.012825911190318178
145,14.5,0.019143415178838954
146,14.6,0.03112275915866599
147,14.7,0.13217127786085026
148,14.8,0.1902956441814918
149,14.9,0.057857400502799215
150,15.0,0.009700046913135123
151,15.1,0.009249333714808069
152,15.2,0.03216144801027928
153,15.3,0.08673598618159672
154,15.4,0.21356783388018297
155,15.5,0.35262858924876106
156,15.6,0.27440882544049844
157,15.7,0.3557067893066357
158,15.8,0.5004735176015405
159,15.9,0.36059343216279227
160,16.0,0.11943186185054802
161,16.1,0.12684722229265133
162,16.2,0.37753024675117697
163,16.3,0.7644362809005245
164,16.4,0.9876797220502403
165,16.5,0.95446410494285
166,16.6,0.8434822432311313
167,16.7,0.5973330434822786
168,16.8,0.280920506892675
169,16.9,0.08316042385372295
170,17.0,0.025987123206932434
171,17.1,0.02014563652519846
172,17.2,0.03456077671658315
173,17.3,0.046673552156789755
174,17.4,0.06476735680463025
175,17.5,0.0936608424671185
176,17.6,0.1480849514725995
177,17.7,0.3160076992236931
178,17.8,0.4226439426622113
179,17.9,0.19902412534717592
180,18.0,0.09039244575275175
