,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,1.0
5,0.5,0.04077412772034361
6,0.6,0.21747984310186785
7,0.7,0.9107443259111279
8,0.8,0.9595998664797907
9,0.9,0.33394651734324887
10,1.0,1.0
11,1.1,0.8310975737588725
12,1.2,0.28596509150218885
13,1.3,1.0
14,1.4,1.0
15,1.5,1.0
16,1.6,0.7396254358541732
17,1.7,0.28509992980877236
18,1.8,0.0832619163121154
19,1.9,0.025044237802001625
20,2.0,0.480623701853636
21,2.1,0.5647660900381584
22,2.2,0.19731625843097514
23,2.3,0.0009169968077767335
24,2.4,0.0014450527403463411
25,2.5,0.0014450527403463411
26,2.6,0.009380030799440527
27,2.7,0.4679802064929879
28,2.8,1.0
29,2.9,1.0
30,3.0,0.4953303190191892
31,3.1,0.19731625843097497
32,3.2,0.19731625843097497
33,3.3,0.19731625843097497
34,3.4,0.16302169287594195
35,3.5,0.03887218751459742
36,3.6,0.02398138567256042
37,3.7,0.024944007332398266
38,3.8,0.02496528736508327
39,3.9,0.024823303812234368
40,4.0,0.02559010960635504
41,4.1,0.05935090210334573
42,4.2,0.04221893878809562
43,4.3,0.06014148453557224
44,4.4,0.06779223678779825
45,4.5,0.071028128812374
46,4.6,0.20797064968011122
47,4.7,0.3183011743978172
48,4.8,0.9729123771438615
49,4.9,0.9951483092405748
50,5.0,0.31050083592651684
51,5.1,0.06295578536136799
52,5.2,0.04468798308429369
53,5.3,0.06779223678779825
54,5.4,0.18357431403430077
55,5.5,0.3183011743978172
56,5.6,0.5647660900381584
57,5.7,0.5616131420727377
58,5.8,0.14171366116090256
59,5.9,0.19731625843097514
60,6.0,0.19731625843097514
61,6.1,0.19731625843097514
62,6.2,0.790585588881374
63,6.3,0.3183011743978172
64,6.4,0.1559950491086925
65,6.5,0.011223304835916777
66,6.6,0.028570173586147204
67,6.7,0.5536677926836664
68,6.8,0.21953106585552828
69,6.9,0.16440481081591748
70,7.0,0.11150895005737478
71,7.1,0.18950835857591855
72,7.2,0.21986150604753463
73,7.3,0.00823246793450318
74,7.4,0.002923843972460474
75,7.5,0.010053946382631252
76,7.6,0.04662892899854495
77,7.7,0.11172090657523114
78,7.8,0.1736612474101622
79,7.9,0.2022840972911699
80,8.0,0.5733924469597703
81,8.1,0.7015481647491331
82,8.2,0.2527920571631337
83,8.3,0.2014381068062611
84,8.4,0.7018277404292519
85,8.5,0.36496570965922126
86,8.6,0.1278291520439937
87,8.7,0.03440253634522136
88,8.8,0.0010872925129602256
89,8.9,9.326604230147771e-05
90,9.0,0.002609476179572086
91,9.1,2.9451959347417074e-06
92,9.2,4.270324205279042e-08
93,9.3,0.001584151173221772
94,9.4,0.0086203051090425
95,9.5,0.003457134095026996
96,9.6,0.002351827092528464
97,9.7,0.011773200485925941
98,9.8,0.000999990594359875
99,9.9,0.0012493062437093898
100,10.0,2.548893113235994e-05
101,10.1,2.270467191001962e-06
102,10.2,2.097524236231871e-06
103,10.3,2.500117075537331e-07
104,10.4,2.8464291882469027e-07
105,10.5,2.984181162082519e-08
106,10.6,4.2287213892483046e-08
107,10.7,1.6522113677301843e-07
108,10.8,0.00021548780473553235
109,10.9,0.0005709365481424632
110,11.0,7.988412214702796e-05
111,11.1,5.444171195124308e-05
112,11.2,0.00655967275646118
113,11.3,0.016719366586105563
114,11.4,0.0622171606340682
115,11.5,0.9470273488409231
116,11.6,0.3127184812017354
117,11.7,0.0651811150935035
118,11.8,0.22589019634753935
119,11.9,1.0
120,12.0,0.9767854532299133
121,12.1,0.976805850019039
122,12.2,0.2268120836647193
123,12.3,0.539983723961857
124,12.4,0.17436933577795802
125,12.5,1.0
126,12.6,1.0
127,12.7,1.0
128,12.8,1.0
129,12.9,1.0
130,13.0,1.0
131,13.1,1.0
132,13.2,1.0
133,13.3,1.0
134,13.4,1.0
135,13.5,1.0
136,13.6,1.0
137,13.7,1.0
138,13.8,1.0
139,13.9,0.3240461223664387
140,14.0,0.10045432664328789
141,14.1,0.10723019422461932
142,14.2,0.08326968261630284
143,14.3,0.07229462205189874
144,14.4,0.03567635251436669
145,14.5,0.6271892148201434
146,14.6,0.16453046759730527
147,14.7,0.025044237802001625
148,14.8,0.02473986698561793
149,14.9,0.04055480091066422
150,15.0,0.00033565019318698117
151,15.1,0.00237823253844229
152,15.2,0.0029658036715957356
153,15.3,0.016660857483229933
154,15.4,0.12071210837266838
155,15.5,0.9287517626516687
156,15.6,0.9241629386634431
157,15.7,1.0
158,15.8,0.6243944796831085
159,15.9,0.7036808023775237
160,16.0,0.7441682982284548
161,16.1,0.5284109029056556
162,16.2,0.4571829701355593
163,16.3,0.24939146639255064
164,16.4,0.7114194768364973
165,16.5,0.13521108399442344
166,16.6,0.06779223678779825
167,16.7,0.06662309632486649
168,16.8,0.02498799935063156
169,16.9,0.00026244717089680513
170,17.0,8.8949557995585e-05
171,17.1,0.0020389710155613076
172,17.2,0.0003521171309768221
173,17.3,0.0021044192916470942
174,17.4,0.002537427848502907
175,17.5,0.002537427848502907
176,17.6,0.002537427848502907
177,17.7,0.002537427848502907
178,17.8,0.002537427848502907
179,17.9,0.002537427848502907
180,18.0,0.002537427848502907
