,t,p-value
0,0.0,0.2901021506663137
1,0.1,0.2994689975395192
2,0.2,0.8726635958660427
3,0.3,0.5303281314876143
4,0.4,0.8167215064345253
5,0.5,0.6083654571448629
6,0.6,0.9826965648094994
7,0.7,0.9489904751352192
8,0.8,0.8946871073320021
9,0.9,0.8719440873203467
10,1.0,0.22375680008569634
11,1.1,0.09418560248272942
12,1.2,0.23057113347061034
13,1.3,0.7911434045257376
14,1.4,0.8185618919845783
15,1.5,0.5785526833622228
16,1.6,0.26301276020091746
17,1.7,0.10231517220617835
18,1.8,0.06273884363933267
19,1.9,0.047476769112245035
20,2.0,0.03469414875073966
21,2.1,0.011021743283133992
22,2.2,0.0013211802520234131
23,2.3,0.0006877181798789666
24,2.4,0.013312014190262482
25,2.5,0.004786721677461224
26,2.6,0.0006406386730492266
27,2.7,0.00010781002941820875
28,2.8,7.015023208595573e-05
29,2.9,0.00016649301441772248
30,3.0,0.0002549966202935353
31,3.1,7.964718306257022e-05
32,3.2,1.6990484074974768e-05
33,3.3,6.4640169189792514e-06
34,3.4,6.563626834194911e-06
35,3.5,0.007428567945531451
36,3.6,0.2339900458853124
37,3.7,0.2857942754734278
38,3.8,0.412594652865758
39,3.9,0.5729112529055811
40,4.0,0.7237381080199033
41,4.1,0.7894065236046919
42,4.2,0.8238334115908252
43,4.3,0.8354161274962892
44,4.4,0.816077513347112
45,4.5,0.8161505512225364
46,4.6,0.9595948858814967
47,4.7,0.8968720815258018
48,4.8,0.913852682048498
49,4.9,0.9693967632975784
50,5.0,0.9323521548351733
51,5.1,0.7789025221811386
52,5.2,0.6984853312812189
53,5.3,0.5849441150031932
54,5.4,0.33972385769474567
55,5.5,7.119910594498428e-07
56,5.6,3.2133840666122653e-09
57,5.7,7.74017909932772e-09
58,5.8,1.481965654621344e-08
59,5.9,2.6334654669605538e-08
60,6.0,5.899535533440711e-08
61,6.1,1.3470764156810252e-07
62,6.2,2.777657743434013e-07
63,6.3,5.267589274578355e-07
64,6.4,5.974799292323796e-07
65,6.5,6.214542924536265e-07
66,6.6,8.499556442213448e-07
67,6.7,8.366994781947041e-07
68,6.8,1.0797540775108405e-06
69,6.9,1.4269797569835034e-06
70,7.0,1.1897073337717362e-06
