,t,p-value
0,0.0,0.15836120329559514
1,0.1,1.0
2,0.2,1.0
3,0.3,0.3183011743978168
4,0.4,0.0014450527403463411
5,0.5,0.014062175577267697
6,0.6,0.023308005919252115
7,0.7,0.015649325762024654
8,0.8,0.014119083551121878
9,0.9,1.0
10,1.0,1.0
11,1.1,0.2322625962655636
12,1.2,1.0
13,1.3,1.0
14,1.4,1.0
15,1.5,1.0
16,1.6,0.7396254358541732
17,1.7,0.025044237802001625
18,1.8,0.1602234578859637
19,1.9,1.0
20,2.0,0.7204706507724713
21,2.1,0.5647660900381584
22,2.2,0.19731625843097514
23,2.3,0.010726085764754315
24,2.4,0.002537427848502907
25,2.5,0.002537427848502907
26,2.6,0.002537427848502907
27,2.7,0.002537427848502907
28,2.8,0.002537427848502907
29,2.9,0.006381808185134581
30,3.0,0.15136483435140807
31,3.1,0.19731625843097514
32,3.2,0.19731625843097514
33,3.3,0.19731625843097514
34,3.4,0.19731625843097514
35,3.5,0.38417718541128487
36,3.6,0.9198822562042047
37,3.7,0.8237602669857654
38,3.8,0.7945008910312396
39,3.9,0.7933947694265264
40,4.0,0.3208794480039676
41,4.1,0.11582648754611141
42,4.2,0.2588129531307825
43,4.3,0.2918737153823735
44,4.4,0.28792934601648407
45,4.5,0.2891308163678457
46,4.6,0.5542402075836301
47,4.7,0.6473111939650353
48,4.8,0.9430776842292232
49,4.9,0.7883315539373678
50,5.0,0.8179096091379816
51,5.1,0.824518554942339
52,5.2,0.4158015656541916
53,5.3,0.38034204653169834
54,5.4,0.9555443105851971
55,5.5,0.8060003847420167
56,5.6,0.5668578518444869
57,5.7,0.29045881784636735
58,5.8,0.20876666252733955
59,5.9,0.29847022195617484
60,6.0,0.5538310489892118
61,6.1,0.4556337946620327
62,6.2,0.5736570446642715
63,6.3,0.03582252050332223
64,6.4,0.006462190804156437
65,6.5,0.02356899044433593
66,6.6,0.0027205038031853594
67,6.7,2.4752622593049333e-05
68,6.8,2.1772403866063863e-05
69,6.9,6.345004509174028e-05
70,7.0,4.956758784336667e-06
71,7.1,1.0098680664696724e-05
72,7.2,0.0002816041146210617
73,7.3,1.0639360531511539e-05
74,7.4,5.770016612714437e-06
75,7.5,3.9786852146912334e-05
76,7.6,0.0002957793318860766
77,7.7,0.0036978860661076745
78,7.8,0.0036978860661076745
79,7.9,0.0019165571368777866
80,8.0,0.0045718003546069445
81,8.1,0.015157090620651608
82,8.2,0.004277412870243779
83,8.3,0.0026474778458122545
84,8.4,0.023179145595335904
85,8.5,0.00114290973041711
86,8.6,0.0008505458672573522
87,8.7,0.0002650609176028924
88,8.8,3.650405185560081e-06
89,8.9,1.8136883700289953e-05
90,9.0,0.007330603713452294
91,9.1,0.0017618818271833037
92,9.2,2.8481107839253e-05
93,9.3,1.8237229180468817e-06
94,9.4,6.312152605033979e-06
95,9.5,4.353457167942422e-08
96,9.6,1.022457722580545e-08
97,9.7,3.720169301447019e-08
98,9.8,6.9359843281363144e-09
99,9.9,5.274526939695294e-08
100,10.0,4.3206109901160286e-08
101,10.1,1.5145276238043763e-08
102,10.2,1.2487211261895638e-08
103,10.3,1.3304453771778057e-08
104,10.4,1.7675375805577256e-07
105,10.5,1.0160568196884214e-06
106,10.6,1.8023283201194613e-07
107,10.7,2.525922207020969e-07
108,10.8,1.724401594662429e-06
109,10.9,3.154358417654107e-07
110,11.0,2.0368036621513823e-07
111,11.1,1.4389048857336668e-07
112,11.2,1.1309860346314887e-06
113,11.3,3.896391889747748e-06
114,11.4,2.3112777934554938e-05
115,11.5,6.0821434954907526e-05
116,11.6,0.0002142531203936849
117,11.7,0.0010613448043086382
118,11.8,0.013318450638665142
119,11.9,0.19731625843097497
120,12.0,0.19731625843097497
121,12.1,0.19731625843097497
122,12.2,0.19731625843097497
123,12.3,0.7777223910754074
124,12.4,0.12777253009624498
125,12.5,0.025044237802001625
126,12.6,0.025044237802001625
127,12.7,0.025044237802001625
128,12.8,0.025044237802001625
129,12.9,0.025044237802001625
130,13.0,0.025044237802001625
131,13.1,0.025044237802001625
132,13.2,0.025044237802001625
133,13.3,0.025044237802001625
134,13.4,0.025044237802001625
135,13.5,0.025044237802001625
136,13.6,0.025044237802001625
137,13.7,0.025044237802001625
138,13.8,0.025044237802001625
139,13.9,0.1493366402009095
140,14.0,0.7813622219505691
141,14.1,1.0
142,14.2,0.29266737858655323
143,14.3,0.7959261140504563
144,14.4,0.4611924634909328
145,14.5,0.7253926509008228
146,14.6,0.6979326501277734
147,14.7,0.1138799445748204
148,14.8,0.3175467564019187
149,14.9,0.9614733947906898
150,15.0,0.44505030222621045
151,15.1,0.1877878080902863
152,15.2,1.0
153,15.3,0.6783243338332821
154,15.4,0.02551494752999519
155,15.5,0.0017509848514724751
156,15.6,0.00015236037589397842
157,15.7,2.079653243234827e-05
158,15.8,4.376514711149842e-06
159,15.9,3.974121021748257e-06
160,16.0,2.5370910976983684e-08
161,16.1,3.2457067818263036e-09
162,16.2,4.935085310066005e-09
163,16.3,5.759010559597811e-07
164,16.4,1.6903845636540146e-05
165,16.5,0.0003272118832982854
166,16.6,0.0011425231113387961
167,16.7,9.428528073686149e-05
168,16.8,3.977505089604782e-05
169,16.9,0.001651645066155301
170,17.0,0.011355524605518388
171,17.1,0.025488329318737752
172,17.2,0.11444440514099201
173,17.3,0.12071399743174596
174,17.4,0.1140295365958603
175,17.5,0.1140295365958603
176,17.6,0.19761612973343906
177,17.7,0.7638181128413977
178,17.8,1.0
179,17.9,1.0
180,18.0,0.6649611653328079
