,t,p-value
0,0.0,0.19876628475063968
1,0.1,0.10848571209096858
2,0.2,0.4924360405024012
3,0.3,0.977592007087011
4,0.4,0.8842463591507578
5,0.5,0.4918097579501899
6,0.6,0.6698954234348573
7,0.7,0.27600025931470257
8,0.8,0.09470200322620731
9,0.9,0.10571908325721449
10,1.0,0.15540210211789104
11,1.1,0.10811434780336762
12,1.2,0.012017507688322606
13,1.3,0.045841625866452435
14,1.4,0.16616305228557282
15,1.5,0.10977388559471073
16,1.6,0.07638369543525651
17,1.7,0.062098666615767587
18,1.8,0.04844882859551669
19,1.9,0.037887847631729005
20,2.0,0.025719739201198435
21,2.1,0.015649885928163805
22,2.2,0.01718046176072202
23,2.3,0.014624585800191344
24,2.4,0.03649594877954292
25,2.5,0.08472961875053765
26,2.6,0.10815012438458298
27,2.7,0.08875665142135901
28,2.8,0.09984751916753659
29,2.9,0.10269782829193898
30,3.0,0.19578084209132796
31,3.1,0.3149195900255819
32,3.2,0.3261769490125582
33,3.3,0.4477844284533695
34,3.4,0.7914580751785547
35,3.5,0.632264573862221
36,3.6,0.38494247600862774
37,3.7,0.34428171263272955
38,3.8,0.21352477292176722
39,3.9,0.0036892498264909507
40,4.0,0.0005000384071882344
41,4.1,0.0003837681871288291
42,4.2,0.0011335600445426647
43,4.3,0.005539596593318706
44,4.4,0.007796486220203452
45,4.5,0.005160535326428871
46,4.6,0.007892701957782827
47,4.7,0.005609373131062713
48,4.8,0.005633974221591107
49,4.9,0.005952750881142822
50,5.0,0.0045253221294742465
51,5.1,0.0034201289362091975
52,5.2,0.001550786492487414
53,5.3,0.00032863708576085524
54,5.4,3.708596096247442e-05
55,5.5,1.8476018420097577e-07
56,5.6,5.12969036879202e-10
57,5.7,1.4197442460658333e-10
58,5.8,1.6771564872014516e-10
59,5.9,1.4762161093366713e-10
60,6.0,3.3246631940743685e-10
61,6.1,5.442091997989403e-10
62,6.2,8.565978106138678e-10
63,6.3,1.3677383610667172e-09
64,6.4,1.925004626473879e-09
65,6.5,1.923750715923876e-09
66,6.6,1.4799417448191402e-09
67,6.7,8.94340394289228e-10
68,6.8,1.0158722890564144e-09
69,6.9,1.1663796351632102e-09
70,7.0,1.6295837837493454e-09
71,7.1,1.4930718639082877e-09
72,7.2,1.0293204020071455e-09
73,7.3,6.044995962570536e-10
74,7.4,2.74025485815947e-10
75,7.5,2.3067814449294313e-11
76,7.6,2.8483933523767945e-13
77,7.7,4.053575932766824e-15
78,7.8,8.681996722913514e-16
79,7.9,8.045772003547464e-17
80,8.0,1.8794581524304333e-18
81,8.1,1.0051812231482446e-19
82,8.2,1.2994760848162053e-19
83,8.3,1.1412191519621744e-18
84,8.4,2.777617698898086e-18
