,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,0.28399185876999244
3,0.3,0.013934005396887942
4,0.4,0.0002690148413456799
5,0.5,4.76653882099701e-05
6,0.6,0.00033018820413627606
7,0.7,0.000613763437198286
8,0.8,0.035648268040557936
9,0.9,0.005255914605655699
10,1.0,0.0004389041769690855
11,1.1,5.27080753001663e-06
12,1.2,5.2851344945152675e-06
13,1.3,4.533164177388368e-05
14,1.4,2.8371049278973422e-05
15,1.5,5.526198891722232e-06
16,1.6,7.432724610954916e-06
17,1.7,5.27080753001663e-06
18,1.8,0.00010055055454656506
19,1.9,0.00010121949051757764
20,2.0,0.00030423351535888106
21,2.1,0.006687858166151321
22,2.2,0.012947549404325225
23,2.3,0.047079759074607506
24,2.4,0.3183011743978172
25,2.5,0.3183011743978172
26,2.6,0.5613778668155023
27,2.7,0.2841280806771893
28,2.8,0.23903003991153224
29,2.9,0.20868674617157942
30,3.0,0.28575324850556144
31,3.1,0.767812698014906
32,3.2,0.7635395452346001
33,3.3,0.7742463582932726
34,3.4,0.5397773277917524
35,3.5,0.19998943396190544
36,3.6,0.09040520526438972
37,3.7,0.03949171653335404
38,3.8,0.04044634283312456
39,3.9,0.04159825211646224
40,4.0,0.050892025902739606
41,4.1,0.09158285098066747
42,4.2,0.002111918248016442
43,4.3,0.0013493140537446313
44,4.4,0.00609228463797935
45,4.5,0.013475346897379307
46,4.6,0.012534765517554204
47,4.7,0.11929620738307407
48,4.8,0.17295213764971112
49,4.9,0.12623257732501159
50,5.0,0.09426762541660878
51,5.1,0.09765265993253446
52,5.2,0.26738452644892086
53,5.3,0.42070099317827914
54,5.4,0.4245982713957871
55,5.5,0.12726506709184357
56,5.6,0.3069210033243635
57,5.7,0.4220595497128775
58,5.8,0.04371517997388625
59,5.9,0.025044237802001625
60,6.0,0.085185995011777
61,6.1,0.15768738653709918
62,6.2,0.15757031108477923
63,6.3,0.0373969049889716
64,6.4,0.04212769965075874
65,6.5,0.010574417029977641
66,6.6,0.054939133352505484
67,6.7,0.06287086194339185
68,6.8,0.11744638386344963
69,6.9,0.8484662588538752
70,7.0,0.9948075242643962
71,7.1,0.7660490844632455
72,7.2,0.07067073216334802
73,7.3,0.016593537163873393
74,7.4,0.011041261624682415
75,7.5,0.0065505353594094385
76,7.6,0.0023728972190554553
77,7.7,0.0012422274968705987
78,7.8,0.0002671746076707954
79,7.9,0.01846667810993607
80,8.0,0.04604159288395367
81,8.1,0.04427643731995799
82,8.2,0.015119636627646876
83,8.3,0.01361014244105488
84,8.4,0.002612940328299684
85,8.5,0.003328291400238967
86,8.6,0.006644573752654751
87,8.7,0.0014690417214692356
88,8.8,0.0024143956125855133
89,8.9,0.00681554455610709
90,9.0,0.021027304108219465
91,9.1,0.022550790298352833
92,9.2,0.01335136233505056
93,9.3,0.009892545979109258
94,9.4,0.019619673276086342
95,9.5,0.03788434228597734
96,9.6,0.03694859003488052
97,9.7,0.08633611820203406
98,9.8,0.055601880158693495
99,9.9,0.03297863640442174
100,10.0,0.03608853983847705
101,10.1,0.003304103900108672
102,10.2,1.8643954674652104e-05
103,10.3,6.559364398466878e-06
104,10.4,1.2888642288112923e-05
105,10.5,0.0025319546202657696
106,10.6,0.03133914915212201
107,10.7,0.034629905999600676
108,10.8,0.029736994794346484
109,10.9,0.03281145544956795
110,11.0,0.011354779196897837
111,11.1,0.12895051601360186
112,11.2,0.06400787676147338
113,11.3,0.026710333803372947
114,11.4,0.11805694945696614
115,11.5,0.29147007963241267
116,11.6,0.07244644538708386
117,11.7,0.13415820052442667
118,11.8,0.3250220364224269
119,11.9,0.4290763076452546
120,12.0,0.4028959535016775
121,12.1,0.4571829701355593
122,12.2,0.24480895423044807
123,12.3,0.15772328391502793
124,12.4,0.15772328391502793
125,12.5,0.15772328391502793
126,12.6,0.15772328391502793
127,12.7,0.15772328391502793
128,12.8,0.00953375399954899
129,12.9,0.0015280793401253369
130,13.0,0.0626601617392879
131,13.1,0.18332453189821554
132,13.2,0.39912819603001715
133,13.3,0.8336060161990371
134,13.4,0.414508512157049
135,13.5,0.3102634380963885
136,13.6,0.06779223678779825
137,13.7,0.06779223678779825
138,13.8,0.5876361073755212
139,13.9,0.014084555664388385
140,14.0,6.95596494287479e-05
141,14.1,1.2188023452710684e-08
142,14.2,1.785356399168201e-07
143,14.3,7.161354195899518e-07
144,14.4,3.13908385508558e-09
145,14.5,3.4906203082841354e-08
146,14.6,5.5716023858519824e-08
147,14.7,9.7732490298966e-07
148,14.8,5.27080753001663e-06
149,14.9,5.27080753001663e-06
150,15.0,2.270494690687716e-05
151,15.1,0.0010766530372692932
152,15.2,0.006814693329044075
153,15.3,0.0023281484676238476
154,15.4,0.0002802454157584479
155,15.5,0.0001542683881614324
156,15.6,6.0459112179295474e-05
157,15.7,0.015475271504120055
158,15.8,0.025052184631514676
159,15.9,0.03449187654307261
160,16.0,0.3983901027426022
161,16.1,0.9742006927174023
162,16.2,0.6577242662116781
163,16.3,0.8221596601212603
164,16.4,0.49026223241195
165,16.5,0.20313311775375334
166,16.6,0.14111014431649174
167,16.7,0.05891920875469736
168,16.8,0.013624445820758446
169,16.9,0.006705591233587852
170,17.0,0.025044237802001625
171,17.1,0.025044237802001625
172,17.2,0.025044237802001625
173,17.3,0.06585312047063169
174,17.4,0.18982456996971883
175,17.5,0.26440780384879076
176,17.6,0.26440780384879076
177,17.7,0.23208861022541863
178,17.8,0.11228734112047838
179,17.9,0.23274858837138224
180,18.0,0.23274858837138224
