,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,0.3159675546408049
4,0.4,0.08663127178440878
5,0.5,1.0
6,0.6,0.32029787457828995
7,0.7,0.16160928847572753
8,0.8,0.015230112866277224
9,0.9,0.1577615782201483
10,1.0,0.16184610695036575
11,1.1,0.04548790545746035
12,1.2,0.01002448726844871
13,1.3,0.04181571795754421
14,1.4,0.08812131058909511
15,1.5,0.025044237802001625
16,1.6,0.000866723205474779
17,1.7,2.6408171789118563e-05
18,1.8,2.8656294512579334e-05
19,1.9,0.00010121949051757794
20,2.0,0.00023520352333748608
21,2.1,2.224126902874999e-06
22,2.2,2.48171189705719e-06
23,2.3,7.270987405328301e-06
24,2.4,8.771586021134083e-05
25,2.5,8.771586021134083e-05
26,2.6,0.00021290818959613232
27,2.7,0.04569293845745567
28,2.8,0.03683991218699269
29,2.9,0.045022079552533414
30,3.0,0.006160015573675336
31,3.1,0.0004935506378697865
32,3.2,0.000497114678043388
33,3.3,0.0004798925805183743
34,3.4,0.001065772196428856
35,3.5,0.005261672583107626
36,3.6,0.015883715906736352
37,3.7,0.04926228453130876
38,3.8,0.04795732692794332
39,3.9,0.047447096200538476
40,4.0,0.011242404139240316
41,4.1,0.008535832678267685
42,4.2,0.37022624930125325
43,4.3,0.5277751552918782
44,4.4,0.019410522401278437
45,4.5,0.010426661445058577
46,4.6,0.10176991400361035
47,4.7,0.00159514079359996
48,4.8,0.04597429917252005
49,4.9,0.6410803478340774
50,5.0,0.8266324264464585
51,5.1,0.8005225825659457
52,5.2,0.7809457430027407
53,5.3,0.7706832037981894
54,5.4,0.7579499820555698
55,5.5,0.1584674856173816
56,5.6,0.09568687022692117
57,5.7,0.5032857471037044
58,5.8,0.017153084483056982
59,5.9,0.09444037189941044
60,6.0,0.2579689074190626
61,6.1,0.11410794709050963
62,6.2,0.11382361801265653
63,6.3,0.6989580164662712
64,6.4,0.40372446626126735
65,6.5,0.3728478565900265
66,6.6,0.14176052042169635
67,6.7,0.06123207345242361
68,6.8,0.0748000461931885
69,6.9,0.3557900270860962
70,7.0,0.07484928425655635
71,7.1,0.02700278225623211
72,7.2,0.22271765982491656
73,7.3,0.2970667651689262
74,7.4,0.45081466805550596
75,7.5,0.34825756955862774
76,7.6,0.2042602473759547
77,7.7,0.39254427183195495
78,7.8,0.5347407323833602
79,7.9,0.027294444729185876
80,8.0,0.0017723394974086574
81,8.1,0.0028992744720177607
82,8.2,0.00340438433185076
83,8.3,0.0017247036889959193
84,8.4,0.009917087022088147
85,8.5,0.025847623594992732
86,8.6,0.10083410151621419
87,8.7,0.6393278702054968
88,8.8,0.5374427675424134
89,8.9,0.3232718984682237
90,9.0,0.2866449768407482
91,9.1,0.2977542091011093
92,9.2,0.19568566902485376
93,9.3,0.06087230654754363
94,9.4,0.02363138397319127
95,9.5,0.10222357275280738
96,9.6,0.12392212049269485
97,9.7,0.04094892288699258
98,9.8,0.017275913287393585
99,9.9,0.026694244870423035
100,10.0,0.21486960084359066
101,10.1,0.5867657310277861
102,10.2,0.9280068472228736
103,10.3,0.24796839332999418
104,10.4,0.43575125805488313
105,10.5,0.40777337005025094
106,10.6,0.5736686537949514
107,10.7,0.9792719785467946
108,10.8,0.3137353688386997
109,10.9,0.05805156826796311
110,11.0,0.15397198711712604
111,11.1,0.016924961222859598
112,11.2,0.4008184064113054
113,11.3,0.6006197189159277
114,11.4,0.0010829019111778069
115,11.5,0.015517082247601354
116,11.6,0.00996931518358841
117,11.7,0.0008678210671496984
118,11.8,0.0007414332193759028
119,11.9,0.00035781785253767893
120,12.0,0.00010090887119822465
121,12.1,8.771586021134109e-05
122,12.2,0.0045904584854332365
123,12.3,9.065699280196323e-05
124,12.4,8.771586021134109e-05
125,12.5,8.771586021134109e-05
126,12.6,8.771586021134109e-05
127,12.7,8.771586021134109e-05
128,12.8,0.03047220550394754
129,12.9,0.18596226999924295
130,13.0,0.0014450527403463353
131,13.1,0.0014450527403463353
132,13.2,0.0014450527403463353
133,13.3,0.0014450527403463353
134,13.4,0.11820786027639739
135,13.5,0.19731625843097514
136,13.6,0.19731625843097514
137,13.7,0.19731625843097514
138,13.8,0.3794931508145455
139,13.9,0.4377762395789764
140,14.0,0.5347988087672125
141,14.1,0.26216235507895946
142,14.2,0.8424670196193389
143,14.3,0.3136099822936389
144,14.4,0.7785724038377964
145,14.5,0.3741772111494872
146,14.6,0.052839019814056566
147,14.7,0.04803312971019972
148,14.8,0.30444442638496966
149,14.9,0.39912819603001715
150,15.0,0.39912819603001715
151,15.1,0.39883198173561774
152,15.2,0.10979718079452733
153,15.3,0.03172548771428648
154,15.4,0.0009444618215174311
155,15.5,6.100188811791735e-06
156,15.6,2.637351532458848e-06
157,15.7,7.914441627688716e-05
158,15.8,6.372540481268644e-05
159,15.9,0.0016675037661845818
160,16.0,0.07194657433700065
161,16.1,0.23499137783202806
162,16.2,0.4147324462563715
163,16.3,0.19767973329773042
164,16.4,0.1979410713569537
165,16.5,0.5636694029301115
166,16.6,0.2871506682492851
167,16.7,0.5688214508255588
168,16.8,0.7250018877539045
169,16.9,0.35502925241696626
170,17.0,0.3183011743978172
171,17.1,0.26337689531345015
172,17.2,0.06901881738430828
173,17.3,0.03773925613850074
174,17.4,0.0781350609992058
175,17.5,0.1140295365958603
176,17.6,0.1140295365958603
177,17.7,0.1294635723189049
178,17.8,0.09908995500707675
179,17.9,0.06779223678779825
180,18.0,0.0668724244403663
