,t,p-value
0,0.0,0.6636965033411806
1,0.1,0.5008326120386146
2,0.2,0.6113823551811148
3,0.3,0.904577561568137
4,0.4,0.23040220261070288
5,0.5,0.012419287279990998
6,0.6,0.002368915316819647
7,0.7,0.0003078025802647771
8,0.8,0.0008083546659206569
9,0.9,0.004414770093896912
10,1.0,0.009849851476942796
11,1.1,0.008083098128975457
12,1.2,0.003791222350243472
13,1.3,0.0010919216890051644
14,1.4,8.319626729679995e-06
15,1.5,1.2607005660789424e-06
16,1.6,5.107678430846043e-06
17,1.7,4.865178670394226e-05
18,1.8,0.0014661341597949147
19,1.9,0.06979755044482494
20,2.0,0.49084045492762585
21,2.1,0.9801790288735099
22,2.2,0.6623853020898971
23,2.3,0.3709057785061701
24,2.4,0.40438196535764936
25,2.5,0.621915358867861
26,2.6,0.8036792321812403
27,2.7,0.6264053412874315
28,2.8,0.6018625451306718
29,2.9,0.017459924731139498
30,3.0,0.010854309059651247
31,3.1,0.01177495627969851
32,3.2,0.02214821486593693
33,3.3,0.05178023173487237
34,3.4,0.11812518267370216
35,3.5,0.34482914013002
36,3.6,0.679429206519746
37,3.7,0.6411252423704021
38,3.8,0.607380482857208
39,3.9,0.06081213211814796
40,4.0,0.20078569496430412
41,4.1,0.03552426407559403
42,4.2,0.6266408107105533
43,4.3,0.9160386358928813
44,4.4,0.927869483626285
45,4.5,0.9955761248765589
46,4.6,0.24943771122851474
47,4.7,0.0028589686374950354
48,4.8,0.00407463170446656
49,4.9,0.16615267152362365
50,5.0,0.5768752195205167
51,5.1,0.9865992703890492
52,5.2,0.013263087425331783
53,5.3,0.014723814329003587
54,5.4,0.01785947151594019
55,5.5,0.2490986103635041
56,5.6,0.2223621530195511
57,5.7,0.1636188539620885
58,5.8,0.12605837712146462
59,5.9,0.09008485791470557
60,6.0,0.07069376576448438
61,6.1,0.19592085501111584
62,6.2,0.8717650081348406
63,6.3,0.8381569815128447
64,6.4,0.7654581447241727
65,6.5,0.6364330731591363
66,6.6,0.8501545723762677
67,6.7,0.6796799686443764
68,6.8,0.32887416575327433
69,6.9,0.2728169208319016
70,7.0,0.39163257491095327
71,7.1,0.4845566731610269
72,7.2,0.6580332583624164
73,7.3,0.8067343442696848
74,7.4,0.9087250725403834
75,7.5,0.8471545476015917
76,7.6,0.6404564911426456
77,7.7,0.30659482206627486
78,7.8,0.20480664282810893
79,7.9,0.2345494634884266
80,8.0,0.22159729979512946
81,8.1,0.215049631588322
82,8.2,0.2933414416199262
83,8.3,0.23418303262817483
84,8.4,0.30807716567001653
85,8.5,0.359488952554736
86,8.6,0.4413579154363316
87,8.7,0.698856842848431
88,8.8,0.9493530000571666
89,8.9,0.9131276834040405
90,9.0,0.7159153050284176
91,9.1,0.6556663917497152
92,9.2,0.5640459497372694
93,9.3,0.5436700714902568
94,9.4,0.3156015950200823
95,9.5,0.2667115099531653
96,9.6,0.18793062904814217
97,9.7,0.17558667421997934
98,9.8,0.19045979660464102
99,9.9,0.24198395631253108
100,10.0,0.3086242314123961
101,10.1,0.3358446950470072
102,10.2,0.35016767579277663
103,10.3,0.41676265886530617
104,10.4,0.38188089382595725
105,10.5,0.4225191490778737
106,10.6,0.46006857509849675
107,10.7,0.35457073654463
108,10.8,0.3351402039311817
109,10.9,0.343747508301232
110,11.0,0.3127780651052929
111,11.1,0.3170623989103878
112,11.2,0.30273522630738875
113,11.3,0.37036941338171536
114,11.4,0.537396006641085
115,11.5,0.7229230024321532
116,11.6,0.8026331199130587
117,11.7,0.6656885793316684
118,11.8,0.4018958327457649
119,11.9,0.17913069097128698
120,12.0,0.07420266088946471
121,12.1,0.04089952742314839
122,12.2,0.04512855504265643
123,12.3,0.06216205253729149
124,12.4,0.04028975110421549
125,12.5,0.02125774476004488
126,12.6,0.030621772216910616
127,12.7,0.022575709890807566
128,12.8,0.009890085300952079
129,12.9,0.002371976443232494
130,13.0,0.0005022638713205641
131,13.1,0.00015033291577765608
132,13.2,2.8657230186993612e-05
133,13.3,4.913634543235621e-05
134,13.4,0.0001243668941308571
135,13.5,0.001309207170386508
136,13.6,0.0029844772137047966
137,13.7,0.0033624708544367043
138,13.8,0.0006509082721416473
139,13.9,0.0009316647264596441
140,14.0,0.0031877833188419034
141,14.1,0.00264391232722466
142,14.2,0.00280937906439577
143,14.3,0.002140501671411157
144,14.4,0.0014156586911277366
145,14.5,0.0016077184501954998
146,14.6,0.2982453217998199
147,14.7,0.5781199171204224
148,14.8,0.4575039959854358
149,14.9,0.3484007959030828
150,15.0,0.3627799902144343
151,15.1,0.39918261083867934
152,15.2,0.38041080046037523
153,15.3,0.3187401224709123
154,15.4,0.2479549101303185
155,15.5,0.15136491732632967
156,15.6,0.08339132174774225
157,15.7,0.04247549672523518
158,15.8,0.025830386972727295
159,15.9,0.5329946868232682
160,16.0,0.07238680538110712
161,16.1,0.0822540144330696
162,16.2,0.02946069580218916
163,16.3,0.012332640119640751
164,16.4,0.14345688057091222
165,16.5,0.013574905366715122
166,16.6,0.00047575896077742697
167,16.7,0.00012077580542670804
168,16.8,8.7795849441328e-05
169,16.9,0.0001096356920848585
170,17.0,0.0004889973071706048
171,17.1,0.0021925045959671013
172,17.2,0.004805844008798522
173,17.3,0.004368516110326194
174,17.4,0.001250547542433295
175,17.5,0.0012497743820636682
176,17.6,0.0019679033877144053
177,17.7,0.003327199390278691
178,17.8,0.006812893522190298
179,17.9,0.011768471561901906
180,18.0,0.019096820512291085
