,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,0.31830117439781686
3,0.3,0.026534796143431204
4,0.4,0.025044237802001625
5,0.5,0.8265571038752662
6,0.6,0.6297159962469394
7,0.7,0.7062768879079888
8,0.8,0.02510827036150076
9,0.9,0.16795183177601128
10,1.0,0.08326191631211531
11,1.1,1.0
12,1.2,1.0
13,1.3,0.3003569298578181
14,1.4,0.008627905920869611
15,1.5,0.0014450527403463353
16,1.6,0.0012526841912022997
17,1.7,8.771586021134083e-05
18,1.8,0.00015913192616810886
19,1.9,0.6533489985935168
20,2.0,0.4264566841155296
21,2.1,0.19731625843097514
22,2.2,0.19731625843097514
23,2.3,0.19731625843097514
24,2.4,0.19762084366558122
25,2.5,0.2242295887252728
26,2.6,0.544023737180526
27,2.7,0.9369371448309302
28,2.8,0.8915809335373092
29,2.9,0.7864238448609495
30,3.0,0.6030007702754299
31,3.1,0.19731625843097514
32,3.2,0.19731625843097514
33,3.3,0.2129076992970317
34,3.4,0.14033825956287266
35,3.5,0.14057405921982297
36,3.6,0.2383325979977984
37,3.7,0.16381118682900592
38,3.8,0.054943426089158476
39,3.9,0.2503388205079801
40,4.0,0.2527839444893937
41,4.1,0.1426395081838596
42,4.2,0.6429162881560702
43,4.3,0.1672316389106472
44,4.4,0.2499683339000426
45,4.5,0.8777302224316479
46,4.6,0.3753032044610515
47,4.7,0.9508615818139716
48,4.8,0.6944074014345555
49,4.9,0.2567505124927463
50,5.0,0.18678146371584217
51,5.1,0.3208433257945837
52,5.2,0.8059036581181362
53,5.3,0.28023820234828756
54,5.4,0.06610372203618858
55,5.5,0.04509909441040631
56,5.6,0.042699562190797576
57,5.7,0.03688103848424904
58,5.8,0.01780199844494318
59,5.9,0.0058074429411105665
60,6.0,0.0025797583089243073
61,6.1,7.297614014114597e-06
62,6.2,1.6772145014899043e-05
63,6.3,9.130158226342763e-06
64,6.4,2.5483515529895662e-05
65,6.5,0.00013284645138599338
66,6.6,0.001308843021937346
67,6.7,0.0032461672784112267
68,6.8,0.003398458522314114
69,6.9,0.0183364728674287
70,7.0,0.10664763570383158
71,7.1,0.005359521533358863
72,7.2,0.00011381672298599687
73,7.3,0.00011817630867955233
74,7.4,2.008798325618957e-05
75,7.5,0.24500589302430634
76,7.6,0.3013089906697631
77,7.7,0.04773931633161538
78,7.8,0.007994930986215355
79,7.9,0.006869765049046635
80,8.0,0.003221877747188861
81,8.1,0.0024128286561883516
82,8.2,0.28659277630827223
83,8.3,0.998108109094965
84,8.4,0.05282436779428247
85,8.5,0.02760479502166123
86,8.6,0.015346172804068104
87,8.7,0.011560905939936
88,8.8,0.012076070575962447
89,8.9,0.002523371918893985
90,9.0,0.000389959961966303
91,9.1,6.216465507172482e-05
92,9.2,1.6588773425738832e-07
93,9.3,5.640045527983178e-09
94,9.4,1.8642936346625095e-08
95,9.5,1.9515559634611428e-07
96,9.6,1.2255725020626684e-09
97,9.7,1.422289640272131e-10
98,9.8,2.8856934356751514e-07
99,9.9,5.303793760892673e-05
100,10.0,4.703588020532825e-05
101,10.1,0.002521055669696032
102,10.2,0.08778318901897607
103,10.3,0.027428498624272536
104,10.4,0.009486134598808902
105,10.5,0.010851268754639461
106,10.6,0.02157105395475254
107,10.7,0.8337472980655132
108,10.8,0.590046662307661
109,10.9,0.3533745282643663
110,11.0,0.3183011743978172
