,t,p-value
0,0.0,0.973193186148122
1,0.1,0.9458107551317444
2,0.2,0.9645593594964824
3,0.3,0.7674094572463741
4,0.4,0.48781099197033073
5,0.5,0.5139815456244858
6,0.6,0.8548556753644989
7,0.7,0.862238709334702
8,0.8,0.5174515830528058
9,0.9,0.10207748140521604
10,1.0,0.0007118474698453626
11,1.1,5.363404562584069e-07
12,1.2,4.3302161893815465e-08
13,1.3,5.901912678726621e-07
14,1.4,1.7306265545226927e-05
15,1.5,0.00028253020054769593
16,1.6,0.001260386465203796
17,1.7,0.0013300672414683187
18,1.8,0.0009113723555972139
19,1.9,0.0006049659335537685
20,2.0,0.0009209726430564021
21,2.1,0.0028005277484528263
22,2.2,0.0016728270063809051
23,2.3,0.0003662104796362473
24,2.4,0.00045887463431643305
25,2.5,0.008628999680444704
26,2.6,0.02098650396952379
27,2.7,0.034628837736886825
28,2.8,0.033461089491615525
29,2.9,0.01907124871969314
30,3.0,0.008572832405115508
31,3.1,0.004260731494007478
32,3.2,0.004579607171449454
33,3.3,0.004526967492782897
34,3.4,0.0019726436627157404
35,3.5,0.0014575743276534045
36,3.6,0.0013091193332123486
37,3.7,0.00016036714147010846
38,3.8,4.197684899221624e-05
39,3.9,2.3215885913996507e-05
40,4.0,1.6791431316389836e-05
41,4.1,5.1352032130664664e-05
42,4.2,0.00013202627336713396
43,4.3,0.0005814078016858361
44,4.4,0.0005436212249663294
45,4.5,0.0007437143449022385
46,4.6,0.0014649143149422885
47,4.7,0.01626043053205278
48,4.8,0.19029873743577802
49,4.9,0.6782388293075248
50,5.0,0.7978566085560593
51,5.1,0.8723473126554823
52,5.2,0.9379443702301942
53,5.3,0.8466392200502797
54,5.4,0.7027473370397657
55,5.5,0.6015977890546564
56,5.6,0.6340098798499669
57,5.7,0.5553238087879955
58,5.8,0.46014015284467047
59,5.9,0.45600610681692366
60,6.0,0.4760371614337303
61,6.1,0.43705835448716734
62,6.2,0.3314425568207029
63,6.3,0.26712639901978646
64,6.4,0.24400541480601004
65,6.5,0.23832092374583114
66,6.6,0.25998171156622274
67,6.7,0.27069654956949535
68,6.8,0.13025322320024166
69,6.9,0.0010918848408320858
70,7.0,0.000323296047541588
71,7.1,0.0003613905677368888
72,7.2,0.0004250291411323071
73,7.3,0.00033777096134948053
74,7.4,8.649168220948038e-05
75,7.5,3.958726146593691e-06
76,7.6,6.426380624567592e-07
77,7.7,5.341889557431238e-07
78,7.8,8.133557074452589e-07
79,7.9,1.8326806209509478e-07
80,8.0,4.1892943685854596e-08
81,8.1,5.619248746901976e-08
82,8.2,4.7139126807854705e-08
83,8.3,1.4855947221647502e-08
84,8.4,1.7032200908470352e-09
85,8.5,1.9513992413629338e-10
86,8.6,3.15659098546101e-10
87,8.7,9.009327154041977e-09
88,8.8,2.2896880257231522e-05
89,8.9,0.028471174249202168
90,9.0,0.6915793322298802
91,9.1,0.16010931292350575
92,9.2,0.027464823357260297
93,9.3,0.01606565804387192
94,9.4,0.024887820674601376
95,9.5,0.04879552424326964
96,9.6,0.09431084008755186
97,9.7,0.1780067454398439
98,9.8,0.20415843308334458
99,9.9,0.17658605041145062
100,10.0,0.15219754703936622
101,10.1,0.1638235304031518
102,10.2,0.11999912965863103
103,10.3,0.08508501996669787
104,10.4,0.04167743853459483
105,10.5,0.014611797114553089
106,10.6,0.004868526218764383
107,10.7,0.0013354106962988987
108,10.8,0.0012534453249601122
109,10.9,0.0012080516648244367
110,11.0,0.001294930247901738
