,t,p-value
0,0.0,0.5307784038084058
1,0.1,0.4099129001883176
2,0.2,0.6733457844016569
3,0.3,0.9423691998147121
4,0.4,0.42381640324179515
5,0.5,0.10573946406630018
6,0.6,0.013480132581990212
7,0.7,0.0010559234595217241
8,0.8,0.004760941046260945
9,0.9,0.02192945949453028
10,1.0,0.11958698235117841
11,1.1,0.17576004484845426
12,1.2,0.2900060137546779
13,1.3,0.4763500313329557
14,1.4,0.7959858455967352
15,1.5,0.8516119839885964
16,1.6,0.3336112077587332
17,1.7,0.10982664472510481
18,1.8,0.10211761961433807
19,1.9,0.10190271178768133
20,2.0,0.16467833037508348
21,2.1,0.17383231304997965
22,2.2,0.3095866779862812
23,2.3,0.3967110229236612
24,2.4,0.06676855763622372
25,2.5,0.017792290806916806
26,2.6,0.0059741043169289
27,2.7,0.005422367132085214
28,2.8,0.0037205046648463736
29,2.9,0.12646791139826333
30,3.0,0.5802919777186586
31,3.1,0.5597912890664101
32,3.2,0.4200581277475466
33,3.3,0.046450016713321614
34,3.4,0.030756810063090636
35,3.5,0.03293648839730416
36,3.6,0.02764276253637843
37,3.7,0.0171123425137362
38,3.8,0.013190104530844463
39,3.9,0.01087949257380894
40,4.0,0.010837095278504738
41,4.1,0.01231518146251989
42,4.2,0.01007158549962864
43,4.3,0.015141646049864286
44,4.4,0.022650947445777704
45,4.5,0.020865857981083976
46,4.6,0.5091047401999362
47,4.7,0.8822504665294293
48,4.8,0.5928441559216722
49,4.9,0.04107329827596478
50,5.0,0.02954074816633957
51,5.1,0.010149838107554989
52,5.2,0.0020754855770089703
53,5.3,0.00039230206941087616
54,5.4,0.00035981409739343313
55,5.5,0.0007650221570279104
56,5.6,0.006457540581337114
57,5.7,0.009738087521121421
58,5.8,0.017770660937848147
59,5.9,0.12716458676552278
60,6.0,0.35246639955512027
61,6.1,0.5668646810396029
62,6.2,0.6049037867154514
63,6.3,0.5033226573309164
64,6.4,0.4305378966811626
65,6.5,0.45196161849555416
66,6.6,0.5385059813156431
67,6.7,0.5622935284473536
68,6.8,0.46341186250157884
69,6.9,0.3992550266614622
70,7.0,0.3223840511211391
71,7.1,0.20917219949378327
72,7.2,0.17744979071583097
73,7.3,0.17460438230527017
74,7.4,0.14888325771891567
75,7.5,0.126268868461156
76,7.6,0.14867060751646116
77,7.7,0.16619400063984974
78,7.8,0.23279161813347968
79,7.9,0.2747072789742715
80,8.0,0.2667598426689157
81,8.1,0.2987954086050772
82,8.2,0.2751939694996066
83,8.3,0.2864335328736976
84,8.4,0.3087699373440598
85,8.5,0.33063916024727347
86,8.6,0.15194382450293195
87,8.7,0.03415478776054325
88,8.8,0.04282075449678993
89,8.9,0.06988175045149216
90,9.0,0.4133328031415
91,9.1,0.004461449277695628
92,9.2,0.00025099134245380327
93,9.3,0.0001717885468664714
94,9.4,0.000690635812828545
95,9.5,0.0033670990924560065
96,9.6,0.017826050479877936
97,9.7,0.03527276511027038
98,9.8,0.031766100279825675
99,9.9,0.003256634193725025
100,10.0,0.0014179675409393673
101,10.1,0.0017290284464030106
102,10.2,0.001612235988418992
103,10.3,0.0021246145199917076
104,10.4,0.0025544367411189477
105,10.5,0.0036549190770413676
106,10.6,0.004556335309731334
107,10.7,0.05067509781086309
108,10.8,0.11361325138241786
109,10.9,0.06492882860701957
110,11.0,0.04102950662184768
