,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,0.12945054820085142
5,0.5,0.023793775277859967
6,0.6,0.005552327932807062
7,0.7,0.00027750959168963034
8,0.8,0.00015382878032611387
9,0.9,0.016686055695313225
10,1.0,0.025044237802001625
11,1.1,0.024041919428969275
12,1.2,0.002040488498207149
13,1.3,0.000234589328020092
14,1.4,8.983566623643838e-05
15,1.5,0.0021311422436012654
16,1.6,0.19570454978313687
17,1.7,0.017928390044723373
18,1.8,0.0014450527403463353
19,1.9,0.012831797909965826
20,2.0,0.025082857617070218
21,2.1,0.02988923853665304
22,2.2,0.0493041392751539
23,2.3,0.07469414764689164
24,2.4,0.10330765248878562
25,2.5,0.13234299542001493
26,2.6,0.15098830774127794
27,2.7,0.1589553231269561
28,2.8,0.9995162165718313
29,2.9,0.38694601704718545
30,3.0,0.1074528481407648
31,3.1,0.10045488151165147
32,3.2,0.11117334885415024
33,3.3,0.14496910150032283
34,3.4,0.1874031913678806
35,3.5,0.21255985280057815
36,3.6,0.14382666870219982
37,3.7,0.025230338024782518
38,3.8,0.08700551162561466
39,3.9,0.1615949826177976
40,4.0,0.7072437054713478
41,4.1,0.2283298317366264
42,4.2,0.1688249709671099
43,4.3,0.028642375339518564
44,4.4,0.025717368476254974
45,4.5,0.12153190201253092
46,4.6,0.17058531307614574
47,4.7,0.18256154267286664
48,4.8,0.18954072268557054
49,4.9,0.18234864657003597
50,5.0,0.07167943148371955
51,5.1,0.015095696585470044
52,5.2,0.0004859082737909546
53,5.3,1.937205014565893e-07
54,5.4,2.310214659744682e-07
55,5.5,2.6371437882528264e-06
56,5.6,3.1490865813714095e-06
57,5.7,4.2055079672087144e-06
58,5.8,9.067464221418301e-06
59,5.9,0.0007210473524298723
60,6.0,0.6199738311338971
61,6.1,0.9918725068968508
62,6.2,0.06729269307712185
63,6.3,0.0004349780210964839
64,6.4,0.015457656149505769
65,6.5,0.10974791184340987
66,6.6,0.030672370563159707
67,6.7,0.0007288304089164026
68,6.8,0.6292545564829963
69,6.9,0.03893676620541442
70,7.0,0.14627555871996292
71,7.1,0.9389430519658262
72,7.2,0.44595671938774295
73,7.3,0.028928760349321854
74,7.4,0.006072744578400404
75,7.5,0.09155322379460885
76,7.6,0.5569520113222851
77,7.7,0.44501004939371736
78,7.8,0.04508437894280389
79,7.9,4.477387801867559e-06
80,8.0,1.8119105147894146e-05
81,8.1,1.8038210165948623e-06
82,8.2,3.815900077236185e-05
83,8.3,0.00011411424400162066
84,8.4,0.026058856405747188
85,8.5,0.0014783947829465362
86,8.6,0.0074762227288227
87,8.7,0.6462244664224058
88,8.8,0.8708153306536677
89,8.9,0.6206438978787326
90,9.0,0.049674812272586966
91,9.1,0.6839171046005357
92,9.2,0.10474031084017776
93,9.3,0.026418043817887028
94,9.4,0.32172281563675625
95,9.5,0.4388512276253643
96,9.6,0.826529627906899
97,9.7,0.3442448760795003
98,9.8,0.31220762103298144
99,9.9,0.7600882610147037
100,10.0,0.9375018826706544
101,10.1,0.1485031052559503
102,10.2,0.007071140620372827
103,10.3,0.0004375549535649818
104,10.4,0.0034031816110482076
105,10.5,0.17206014169890882
106,10.6,0.01650892358892861
107,10.7,0.00035906237488383144
108,10.8,0.0005023772549111172
109,10.9,6.762481838135371e-05
110,11.0,4.807046099553732e-05
