,t,p-value
0,0.0,0.2514454774488389
1,0.1,0.027653568145059464
2,0.2,0.24239957916780822
3,0.3,1.0
4,0.4,1.0
5,0.5,0.0067275346489682475
6,0.6,0.0005375640043801823
7,0.7,0.004872366640598324
8,0.8,0.0027562632986594315
9,0.9,0.011371823442847376
10,1.0,0.025044237802001625
11,1.1,0.025044237802001625
12,1.2,0.025044237802001625
13,1.3,0.013406571788327753
14,1.4,0.0005149484139378791
15,1.5,8.771586021134083e-05
16,1.6,7.608845653563501e-05
17,1.7,5.27080753001663e-06
18,1.8,5.27080753001663e-06
19,1.9,5.27080753001663e-06
20,2.0,5.27080753001663e-06
21,2.1,0.06169794771659384
22,2.2,0.3749888485943258
23,2.3,0.969963691811194
24,2.4,0.9992636521951199
25,2.5,0.9133218366816681
26,2.6,0.21518888295889285
27,2.7,0.3725540745243353
28,2.8,0.1710122073352009
29,2.9,0.15004268403681995
30,3.0,0.3983074385305463
31,3.1,0.4571829701355592
32,3.2,0.4571829701355592
33,3.3,0.4724035529714602
34,3.4,0.6197572372059557
35,3.5,0.6672351297582036
36,3.6,0.3858979969908476
37,3.7,0.3946947789472308
38,3.8,0.416649795017077
39,3.9,0.8843027707599778
40,4.0,0.3992921298543002
41,4.1,0.6738030762238736
42,4.2,0.9372145321073129
43,4.3,0.8846503822986399
44,4.4,0.4962206208976647
45,4.5,0.40842493375391364
46,4.6,0.4549097406561199
47,4.7,0.7985844215024672
48,4.8,0.8551194186631921
49,4.9,0.5252116056440809
50,5.0,0.4447047831423039
51,5.1,0.21312392987301287
52,5.2,0.2902025800419355
53,5.3,0.716254145862319
54,5.4,0.8452650504146997
55,5.5,0.9054416054341032
56,5.6,0.7614825994107781
57,5.7,0.9532846195833555
58,5.8,0.9244418171823403
59,5.9,0.8504208546666338
60,6.0,0.32270708239453183
61,6.1,0.051317421649763426
62,6.2,0.05041288329481089
63,6.3,0.007102017725269052
64,6.4,0.014906245828898074
65,6.5,0.03413976358104809
66,6.6,0.03445262933286027
67,6.7,0.028837962434526642
68,6.8,0.02216839940216825
69,6.9,0.1716816486213483
70,7.0,0.46499657858086163
71,7.1,0.5537493852694291
72,7.2,0.0577692420354478
73,7.3,0.0005964878889183773
74,7.4,1.9269029235644194e-06
75,7.5,0.001592258550513961
76,7.6,0.001899201654320133
77,7.7,9.181300645914772e-05
78,7.8,6.25902291638546e-05
79,7.9,8.737947965321612e-05
80,8.0,0.0015398413509945738
81,8.1,1.0189996871085132e-05
82,8.2,0.00201398083451871
83,8.3,0.0010542249616511427
84,8.4,0.00050358225391515
85,8.5,0.010895774130454857
86,8.6,0.011945486757435867
87,8.7,0.07126968909972885
88,8.8,0.7565910597788812
89,8.9,0.40992068531186276
90,9.0,0.9858262184711595
91,9.1,0.998312882341224
92,9.2,0.25644223664315535
93,9.3,0.048645016443291014
94,9.4,0.6682328499483563
95,9.5,0.1602901438888529
96,9.6,0.7729735432968701
97,9.7,0.36768207426873767
98,9.8,0.10138057204706283
99,9.9,0.011654568517699094
100,10.0,0.0007232514810887914
101,10.1,2.8896799450584873e-05
102,10.2,1.0489642775086362e-05
103,10.3,3.538471147880818e-07
104,10.4,1.9360279753046065e-10
105,10.5,1.612298017074233e-11
106,10.6,9.945681054559415e-13
107,10.7,9.559195230959305e-11
108,10.8,1.4909556349670444e-11
109,10.9,1.2985406230323807e-13
110,11.0,1.315726467297033e-10
