,t,p-value
0,0.0,0.17347883126285735
1,0.1,0.06744401764856853
2,0.2,0.1266865012294386
3,0.3,0.07898181289093047
4,0.4,0.023191441493194274
5,0.5,0.0004337218487028274
6,0.6,2.9263503103402005e-05
7,0.7,6.493198623863256e-05
8,0.8,0.0001298773060787328
9,0.9,4.119318855576041e-05
10,1.0,4.035973175699393e-06
11,1.1,2.3224569922844843e-07
12,1.2,1.6062043034885782e-08
13,1.3,2.5616863147435448e-08
14,1.4,9.194327114646841e-06
15,1.5,0.007870490352091102
16,1.6,0.09716672798673762
17,1.7,0.24312528915613918
18,1.8,0.8917403078900087
19,1.9,0.5503953217150674
20,2.0,0.08812663902428422
21,2.1,0.004917230915405644
22,2.2,4.049837873979967e-05
23,2.3,1.1461303587458641e-06
24,2.4,7.680978697202118e-07
25,2.5,0.00020570106221736592
26,2.6,0.0011614726804284462
27,2.7,0.0028786130371192
28,2.8,0.001541058057937931
29,2.9,0.00026202334620361423
30,3.0,5.489350652173107e-05
31,3.1,6.370972924633408e-05
32,3.2,0.0001951180465285151
33,3.3,0.0003487112958213629
34,3.4,8.366535067051256e-05
35,3.5,5.849633939195999e-05
36,3.6,9.190051507010997e-05
37,3.7,0.00022978406844041194
38,3.8,0.0017950125288246758
39,3.9,0.008773317327206362
40,4.0,0.02765289839522905
41,4.1,0.08354299403678563
42,4.2,0.1524863116567619
43,4.3,0.21900883396637533
44,4.4,0.26526746262974993
45,4.5,0.34226105208637003
46,4.6,0.3678863135512125
47,4.7,0.7451452070603828
48,4.8,0.7009757633123407
49,4.9,0.49665009090794565
50,5.0,0.43994670806892133
51,5.1,0.3263361450589578
52,5.2,0.23007973717771837
53,5.3,0.21171755968185535
54,5.4,0.2725320412073504
55,5.5,0.3362642419995484
56,5.6,0.3127308299151169
57,5.7,0.3338023843806601
58,5.8,0.3792557930751834
59,5.9,0.37509531054128564
60,6.0,0.34930055308950625
61,6.1,0.36868142008165283
62,6.2,0.4348040534244083
63,6.3,0.43717120613209426
64,6.4,0.40193516281935837
65,6.5,0.37581002885004666
66,6.6,0.3344978819452792
67,6.7,0.30981131130429473
68,6.8,0.4231808396305875
69,6.9,0.5043586994902212
70,7.0,0.31265177503707603
71,7.1,0.3012082336664248
72,7.2,0.3210393828303705
73,7.3,0.3413502704450564
74,7.4,0.29809099010027973
75,7.5,0.11267670505249305
76,7.6,0.04162563307379547
77,7.7,0.028892192257696552
78,7.8,0.02520681017871326
79,7.9,0.008523981729181998
80,8.0,0.0032535933696025473
81,8.1,0.0025094571561117738
82,8.2,0.0005096252629395659
83,8.3,4.245372221794092e-05
84,8.4,2.5969351365681525e-06
85,8.5,1.9980987941493476e-07
86,8.6,1.2402797812133197e-07
87,8.7,2.396569726217664e-07
88,8.8,1.3728842034770418e-06
89,8.9,5.244483585159634e-05
90,9.0,0.0014848928731378704
91,9.1,0.051827012643741406
92,9.2,0.34477418360816703
93,9.3,0.577008772418212
94,9.4,0.7411355817294575
95,9.5,0.7757737831150745
96,9.6,0.47142295750222574
97,9.7,0.29916813389505054
98,9.8,0.18312013633739943
99,9.9,0.07948326767854097
100,10.0,0.06462826329723773
101,10.1,0.06769143733356967
102,10.2,0.04531386891252067
103,10.3,0.03917633710164966
104,10.4,0.0668529517325025
105,10.5,0.07480496175431976
106,10.6,0.09387393650262033
107,10.7,0.08595638930073693
108,10.8,0.11106548754650544
109,10.9,0.12363671050343343
110,11.0,0.10422678361981882
