,t,p-value
0,0.0,0.1788338462687267
1,0.1,0.03838841991484046
2,0.2,0.025258344022775187
3,0.3,0.16235742661913705
4,0.4,0.025094948794644065
5,0.5,0.0034251147573859343
6,0.6,0.0014648144332359738
7,0.7,0.386730116279667
8,0.8,0.06293822914320867
9,0.9,0.7767570075173049
10,1.0,1.0
11,1.1,1.0
12,1.2,1.0
13,1.3,0.5647660900381584
14,1.4,0.19895656143834908
15,1.5,0.46015936468279284
16,1.6,0.006764051209421936
17,1.7,0.0008628604289199796
18,1.8,0.005478701118474476
19,1.9,0.05277487361645177
20,2.0,0.31830117439781686
21,2.1,0.700485584305601
22,2.2,0.25958840677479206
23,2.3,0.025044237802001625
24,2.4,0.027024399460995194
25,2.5,0.025986991122460848
26,2.6,0.07548565317697502
27,2.7,0.23436737857196274
28,2.8,0.298319195566672
29,2.9,0.318301174397817
30,3.0,0.34207607712512433
31,3.1,0.5408293276859674
32,3.2,1.0
33,3.3,0.9975986117578813
34,3.4,0.19731625843097514
35,3.5,0.797690466173743
36,3.6,0.20687074506315759
37,3.7,0.1884281727197356
38,3.8,0.006597819510180691
39,3.9,0.0015147026795626051
40,4.0,0.0015193630238800086
41,4.1,0.0016875524887035268
42,4.2,0.018836980252034567
43,4.3,0.025044237802001625
44,4.4,0.025044237802001625
45,4.5,0.025044237802001625
46,4.6,0.025044237802001625
47,4.7,0.015423558648376553
48,4.8,0.02116808578367222
49,4.9,0.021163106194109375
50,5.0,0.025044237802001625
51,5.1,0.002537427848502907
52,5.2,0.021391692249006184
53,5.3,0.25787662665030653
54,5.4,0.9527326745028312
55,5.5,0.7285419197774909
56,5.6,0.1994944847653464
57,5.7,0.06633377063138868
58,5.8,0.1229257904933106
59,5.9,0.5766820940904825
60,6.0,0.41281320183823944
61,6.1,0.04357985225751639
62,6.2,0.04167582280575835
63,6.3,0.025044237802001625
64,6.4,0.022664241081913016
65,6.5,0.037133084341248075
66,6.6,0.2582228095002676
67,6.7,0.29911646889844296
68,6.8,0.26375643138905175
69,6.9,0.19038861672902718
70,7.0,0.08182591919286389
71,7.1,0.4093268261732894
72,7.2,0.41266764916963805
73,7.3,0.5885155917597419
74,7.4,0.06897925518436239
75,7.5,0.002429637243836339
76,7.6,0.0008877711661455308
77,7.7,0.000773293404410221
78,7.8,1.5586416038539236e-06
79,7.9,3.7743411280165606e-05
80,8.0,0.03039482048143327
81,8.1,0.046207833113920654
82,8.2,0.1665466083407542
83,8.3,0.08926972039038193
84,8.4,0.002128975125966281
85,8.5,0.003735142984621446
86,8.6,0.158775804559953
87,8.7,0.07047456852987871
88,8.8,0.19208063870403091
89,8.9,0.1458765553101121
90,9.0,0.00896551276605585
91,9.1,0.0012700875911787247
92,9.2,2.2305742085255174e-06
93,9.3,9.322875673420093e-09
94,9.4,1.6698606864781516e-08
95,9.5,7.464299403154333e-06
96,9.6,0.012102793641850228
97,9.7,0.2685967043182233
98,9.8,0.4571974421145041
99,9.9,0.9091483694043035
100,10.0,0.45728970007730985
101,10.1,0.40503763392601344
102,10.2,0.32547959890313694
103,10.3,0.8491953535461689
104,10.4,0.746318378967088
105,10.5,0.711172837858269
106,10.6,0.7771474301373051
107,10.7,0.2146103751642321
108,10.8,0.11232961768799571
109,10.9,0.2638216317124442
110,11.0,0.8506263259246848
