,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,0.03629009494539929
5,0.5,0.00501813935935156
6,0.6,0.0010432953915533035
7,0.7,0.6343776128142803
8,0.8,0.09730250810516791
9,0.9,0.6755149833526302
10,1.0,1.0
11,1.1,1.0
12,1.2,1.0
13,1.3,1.0
14,1.4,0.3830006420654467
15,1.5,0.8384443633970681
16,1.6,0.6962072337073999
17,1.7,0.1561857045007112
18,1.8,0.037513449592240816
19,1.9,0.01638981977399299
20,2.0,0.9812629901747711
21,2.1,0.3651229282763133
22,2.2,0.140350394278499
23,2.3,0.0014450527403463312
24,2.4,0.0014450527403463312
25,2.5,0.0014450527403463312
26,2.6,0.07220211052131607
27,2.7,0.19731625843097514
28,2.8,0.19731625843097514
29,2.9,0.19731625843097514
30,3.0,0.19731625843097514
31,3.1,0.18348220564883502
32,3.2,0.19731625843097514
33,3.3,0.19635077808492443
34,3.4,0.05299487032020176
35,3.5,0.8332501377467924
36,3.6,0.6430061070350673
37,3.7,0.8917676682639786
38,3.8,0.21721214985018922
39,3.9,0.024889010579111408
40,4.0,0.02492999446339922
41,4.1,0.025027942432605418
42,4.2,0.10622874105629587
43,4.3,0.19731625843097514
44,4.4,0.19731625843097514
45,4.5,0.1925474942319993
46,4.6,0.05586796431371748
47,4.7,0.06278501502929675
48,4.8,0.19731625843097514
49,4.9,0.19731625843097514
50,5.0,0.03725019778118437
51,5.1,0.025044237802001625
52,5.2,0.05987133169620858
53,5.3,0.2578766266503066
54,5.4,0.9527326745028312
55,5.5,0.7155528971497807
56,5.6,0.06477993293385895
57,5.7,0.013076438820514848
58,5.8,0.0742098236412825
59,5.9,0.19091670873884814
60,6.0,0.3172583585728484
61,6.1,0.38284338927521255
62,6.2,0.8496165737518635
63,6.3,0.4837257255841402
64,6.4,0.40858348521985655
65,6.5,0.053888837134831113
66,6.6,0.002127346612522654
67,6.7,0.0006336868133755627
68,6.8,0.002278140512722286
69,6.9,0.000921917544686532
70,7.0,0.01389604663898467
71,7.1,0.3205559965481425
72,7.2,0.530514622238466
73,7.3,0.7487245224061105
74,7.4,0.08099238557899534
75,7.5,0.003545142240137993
76,7.6,0.00094902749094886
77,7.7,0.01664545116435317
78,7.8,0.013072675761330383
79,7.9,0.006637954622743302
80,8.0,0.023955249711404964
81,8.1,0.0026742026401516583
82,8.2,0.002074196908408531
83,8.3,0.0003229043249911524
84,8.4,1.0993896014087016e-05
85,8.5,3.265106674279943e-06
86,8.6,1.3422932768596952e-05
87,8.7,3.465729001267884e-05
88,8.8,0.00017286752733379983
89,8.9,0.00013981280131386662
90,9.0,4.910174054920916e-06
91,9.1,1.0035345000072154e-08
92,9.2,1.126635434086195e-13
93,9.3,2.0368528962308945e-10
94,9.4,5.387152279985138e-09
95,9.5,1.5904088945132467e-13
96,9.6,2.0868085800255117e-10
97,9.7,1.9108135146344498e-05
98,9.8,0.00026568432175707576
99,9.9,0.0013360712913954703
100,10.0,0.002309948350378382
101,10.1,0.3652548987095585
102,10.2,0.43883612181456033
103,10.3,0.9756244173583635
104,10.4,0.6818976112167252
105,10.5,0.4008681724163742
106,10.6,0.07896376032057419
107,10.7,0.08326191631211531
108,10.8,0.14456003033604112
109,10.9,0.34194322821060963
110,11.0,0.8457301328733511
