,t,p-value
0,0.0,0.36892122640334635
1,0.1,0.28412340815441656
2,0.2,0.5867291258110942
3,0.3,0.6664931501872564
4,0.4,0.6453546164012154
5,0.5,0.16073054278493423
6,0.6,0.13247012273743086
7,0.7,0.45252629083840723
8,0.8,0.3693679935015318
9,0.9,0.08160161229639737
10,1.0,0.05728891891714393
11,1.1,0.08209907060163381
12,1.2,0.08557700187889039
13,1.3,0.11703702655762907
14,1.4,0.23191487439117253
15,1.5,0.46330363615986137
16,1.6,0.5318888284207838
17,1.7,0.577184369733921
18,1.8,0.804196805687091
19,1.9,0.5372191591154367
20,2.0,0.8778569096343751
21,2.1,0.22838753355156516
22,2.2,0.0385785315247056
23,2.3,0.04051221597538618
24,2.4,0.03993859057685149
25,2.5,0.057077059129579395
26,2.6,0.03125640428635518
27,2.7,0.021631236587651186
28,2.8,0.025528522763593332
29,2.9,0.032794801804777646
30,3.0,0.03022066179310769
31,3.1,0.021550919246922408
32,3.2,0.037735861489120365
33,3.3,0.11454459224008477
34,3.4,0.2480983398890857
35,3.5,0.24111466261380043
36,3.6,0.346978976463588
37,3.7,0.6511174315874478
38,3.8,0.927150229269515
39,3.9,0.6215772764311476
40,4.0,0.28206781963195393
41,4.1,0.17801357246654737
42,4.2,0.1431594892463119
43,4.3,0.12947182879536245
44,4.4,0.1230480257466489
45,4.5,0.11689932620758543
46,4.6,0.1475412071901337
47,4.7,0.18061025713683707
48,4.8,0.3152177207756546
49,4.9,0.5386031121736895
50,5.0,0.5988506596496339
51,5.1,0.5158428434994051
52,5.2,0.4085685951518788
53,5.3,0.34384707643935486
54,5.4,0.3944102642841779
55,5.5,0.4814695846301117
56,5.6,0.5053641998257783
57,5.7,0.618802870221226
58,5.8,0.6892577153155068
59,5.9,0.7340731547460062
60,6.0,0.8456799609085506
61,6.1,0.9719784286974358
62,6.2,0.9953356949081545
63,6.3,0.988364348415586
64,6.4,0.9290311310425001
65,6.5,0.7544459920926144
66,6.6,0.4728322822806684
67,6.7,0.46056993532954027
68,6.8,0.3853967951503021
69,6.9,0.1877304630331616
70,7.0,0.11142139270279185
71,7.1,0.08921249898071314
72,7.2,0.05496308145477316
73,7.3,0.028840998647069245
74,7.4,0.01941253165011898
75,7.5,0.018902188236137464
76,7.6,0.020282005302985635
77,7.7,0.02130001006363845
78,7.8,0.019735050634156096
79,7.9,0.016972677923653874
80,8.0,0.012331706132483305
81,8.1,0.010862947731401984
82,8.2,0.010989616272200116
83,8.3,0.006511725569305833
84,8.4,0.002921868198680645
85,8.5,0.001056758267404361
86,8.6,0.001346823161621177
87,8.7,0.006165637491354113
88,8.8,0.019923528911342452
89,8.9,0.04497524252728269
90,9.0,0.03015994495320814
91,9.1,0.0019511930894918247
92,9.2,1.4441516892257415e-05
93,9.3,5.831970966292211e-07
94,9.4,6.021774965451524e-07
95,9.5,4.923678100106066e-07
96,9.6,5.281987552333272e-07
97,9.7,7.165673924256733e-07
98,9.8,6.552456339585457e-07
99,9.9,7.471655948798907e-07
100,10.0,2.812190891911886e-07
101,10.1,6.307927974395859e-08
102,10.2,1.678172249316956e-08
103,10.3,2.6858177626376618e-08
104,10.4,4.270018290606786e-07
105,10.5,3.912940569253514e-05
106,10.6,0.001894094145016104
107,10.7,0.010596439299548855
108,10.8,0.029970090632883438
109,10.9,0.029149626202647688
110,11.0,0.02678451859502978
