,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,1.0
5,0.5,0.021289683402720708
6,0.6,0.009000652064121952
7,0.7,0.00047061447290293264
8,0.8,2.861494262284708e-05
9,0.9,9.979158073268883e-05
10,1.0,8.771586021134109e-05
11,1.1,8.771586021134109e-05
12,1.2,0.00013902789275484817
13,1.3,0.0007761719935205371
14,1.4,3.129157997077831e-05
15,1.5,1.568292899950989e-05
16,1.6,0.0004439438507410244
17,1.7,0.011566912766952542
18,1.8,0.025044237802001625
19,1.9,0.15928360499206817
20,2.0,0.19731625843097514
21,2.1,0.19731625843097514
22,2.2,0.1981311950744008
23,2.3,0.4559927098039189
24,2.4,0.9855261582282034
25,2.5,0.46470508496167107
26,2.6,0.6604180738288509
27,2.7,0.9553530959687722
28,2.8,0.9228540026838127
29,2.9,0.9622342818561799
30,3.0,0.8047598392769043
31,3.1,0.8965983250493563
32,3.2,0.08235921149309765
33,3.3,0.03336513011912607
34,3.4,0.06205159545206951
35,3.5,0.1217172596328755
36,3.6,0.043893680710923144
37,3.7,0.0033901139199614644
38,3.8,0.0003022060726012101
39,3.9,0.005831006773217236
40,4.0,0.0076521337748841345
41,4.1,0.03604869230125749
42,4.2,0.3381563568871787
43,4.3,0.16814349297788728
44,4.4,0.9145165408145624
45,4.5,0.471068737320121
46,4.6,0.07131717573690054
47,4.7,0.10131173249352761
48,4.8,0.1536124164766489
49,4.9,0.006215452358213073
50,5.0,0.009471135364228153
51,5.1,0.01724383404463636
52,5.2,0.03521252894688443
53,5.3,0.045092256541588605
54,5.4,0.021224835875479277
55,5.5,0.016842707105660232
56,5.6,0.015848315123449072
57,5.7,0.014232274456004834
58,5.8,0.1502119079953407
59,5.9,0.7629420726946682
60,6.0,0.8509937044238605
61,6.1,0.4730817990295425
62,6.2,0.05197228468736711
63,6.3,0.004022246572664515
64,6.4,0.0001511719325198959
65,6.5,0.0003215760333839354
66,6.6,9.182147954838103e-05
67,6.7,4.394839792043992e-06
68,6.8,1.138453142844428e-09
69,6.9,2.766902163502578e-10
70,7.0,1.6943800935492176e-09
71,7.1,4.050853320630523e-07
72,7.2,1.1022898948087728e-09
73,7.3,5.2591864432931365e-11
74,7.4,5.238366529652691e-11
75,7.5,8.473382532959308e-05
76,7.6,0.0021797502039417587
77,7.7,2.64550642835796e-06
78,7.8,3.0629254050350712e-09
79,7.9,8.08972967648174e-07
80,8.0,2.838543010925483e-06
81,8.1,1.4794962515950818e-06
82,8.2,4.205975881000379e-05
83,8.3,7.077866800826857e-05
84,8.4,9.224400673265764e-07
85,8.5,0.00030718254797394533
86,8.6,0.00023751964883698943
87,8.7,0.00020433972131789945
88,8.8,0.002663515380107306
89,8.9,0.016239948091815053
90,9.0,0.030881942946423758
91,9.1,0.17590407017948734
92,9.2,0.040678918702108734
93,9.3,0.2776341827663531
94,9.4,0.3225996842708544
95,9.5,0.14536148860715842
96,9.6,0.02089487979542786
97,9.7,0.07052429412591167
98,9.8,0.05271404322590252
99,9.9,0.13515085532858
100,10.0,0.7255850504355954
101,10.1,0.826952185913688
102,10.2,0.23252531354573652
103,10.3,0.4311367515619672
104,10.4,0.8112260277740061
105,10.5,0.4657880591784007
106,10.6,0.8651760467239825
107,10.7,0.7995664741614597
108,10.8,0.33380866727734115
109,10.9,0.07388164521436646
110,11.0,0.7006232793980044
