,t,p-value
0,0.0,0.06889759334169743
1,0.1,0.006859179844527049
2,0.2,0.009789704397647892
3,0.3,0.006208794360265923
4,0.4,0.0008145800254905219
5,0.5,4.112410710306598e-06
6,0.6,3.131746106988079e-08
7,0.7,2.8957827044361572e-08
8,0.8,1.8574589658275572e-06
9,0.9,2.6754750979492674e-05
10,1.0,0.00018832098263129555
11,1.1,0.0004732787113748675
12,1.2,0.0008441838237082522
13,1.3,0.0016240393783070544
14,1.4,0.00347554607275655
15,1.5,0.020117656619599897
16,1.6,0.18683005016415577
17,1.7,0.8926580446755553
18,1.8,0.21646746870900538
19,1.9,0.09949867989229348
20,2.0,0.18927720286568403
21,2.1,0.4182752419907335
22,2.2,0.5292017959093687
23,2.3,0.7389537100312609
24,2.4,0.8575383648123055
25,2.5,0.8112386917901317
26,2.6,0.8339325319036897
27,2.7,0.6921337497304844
28,2.8,0.5011541423408981
29,2.9,0.36361342723521284
30,3.0,0.1377117790682692
31,3.1,0.0435054998225963
32,3.2,0.008770847117477897
33,3.3,0.0016702588469957765
34,3.4,0.00011007652128454013
35,3.5,1.2020430426522393e-05
36,3.6,2.1498603708894515e-06
37,3.7,7.095542091861837e-07
38,3.8,7.033904448111078e-08
39,3.9,2.05946750949586e-08
40,4.0,2.5379684230337608e-08
41,4.1,6.728143657792637e-08
42,4.2,1.6251502674898384e-07
43,4.3,1.587367127801124e-06
44,4.4,1.5664806017511057e-05
45,4.5,2.8741887752564997e-05
46,4.6,3.850985602632586e-05
47,4.7,5.705018447737003e-05
48,4.8,0.00016716790430552369
49,4.9,0.0007075717334450714
50,5.0,0.0007620738077955702
51,5.1,0.0006776381602923143
52,5.2,0.0005950506940381369
53,5.3,0.0005243342331985903
54,5.4,0.0006076892466647877
55,5.5,0.0007569921845743259
56,5.6,0.0005894355257262274
57,5.7,0.0005607563607034406
58,5.8,0.0006629797162498809
59,5.9,0.0004744213486698122
60,6.0,0.0004353737553301396
61,6.1,0.00035583723111161256
62,6.2,0.00030341418152422117
63,6.3,0.00028544203322284213
64,6.4,0.00016217899104893732
65,6.5,7.623503163043834e-05
66,6.6,6.598744299230825e-05
67,6.7,7.37364922547726e-05
68,6.8,7.670801533148823e-05
69,6.9,3.6881981488715085e-05
70,7.0,2.0646069751246715e-05
71,7.1,1.5442133248883236e-05
72,7.2,1.1908751861588275e-05
73,7.3,1.6312832044627515e-05
74,7.4,2.0799269559363002e-05
75,7.5,1.5013105219392774e-05
76,7.6,1.0035731224689072e-05
77,7.7,5.5055881855919025e-06
78,7.8,4.6040148346666426e-06
79,7.9,5.28396921271594e-06
80,8.0,1.2041378851404645e-05
81,8.1,3.311983942461982e-05
82,8.2,0.0001354909661035762
83,8.3,5.857529240192808e-05
84,8.4,1.4414041359649708e-05
85,8.5,1.075675567107307e-05
86,8.6,8.861519337447281e-05
87,8.7,0.004475390510813796
88,8.8,0.13265176670449952
89,8.9,0.7883090666964132
90,9.0,0.26409935826581704
91,9.1,0.01400121401717647
92,9.2,0.004404362508572342
93,9.3,0.003017592450955413
94,9.4,0.0005290309199544018
95,9.5,0.00013898054303408713
96,9.6,0.000334756959014328
97,9.7,0.0014461288707115717
98,9.8,0.005859652217327088
99,9.9,0.05085737281466387
100,10.0,0.27161125672420977
101,10.1,0.5995460897102021
102,10.2,0.9364399807165896
103,10.3,0.886478819584188
104,10.4,0.6494130897892125
105,10.5,0.5083123889824452
106,10.6,0.5631695472719631
107,10.7,0.6647836999824794
108,10.8,0.9626244795405794
109,10.9,0.4693709496333146
110,11.0,0.1293382281583099
