,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,1.0
3,0.3,1.0
4,0.4,1.0
5,0.5,0.025288324972460544
6,0.6,0.2236128712814012
7,0.7,0.025044237802001625
8,0.8,0.0006567159924357736
9,0.9,0.004699941933054055
10,1.0,0.025044237802001625
11,1.1,0.025044237802001625
12,1.2,0.025044237802001625
13,1.3,1.0
14,1.4,0.2319054928808534
15,1.5,0.04598881404281882
16,1.6,0.0360212632711289
17,1.7,0.025044237802001625
18,1.8,0.025044237802001625
19,1.9,0.025044237802001625
20,2.0,0.025044237802001625
21,2.1,0.7506857841873955
22,2.2,0.0650839756310917
23,2.3,0.4106728319293995
24,2.4,0.2318653560580804
25,2.5,0.23506567836583345
26,2.6,0.23480982089186628
27,2.7,0.22870291691792222
28,2.8,0.04019962916721019
29,2.9,0.03176511317906567
30,3.0,0.11324907040766834
31,3.1,0.41967944588754635
32,3.2,0.8822873415708499
33,3.3,0.640309346708287
34,3.4,0.10617784289654622
35,3.5,0.051199554261886694
36,3.6,0.05122147710224104
37,3.7,0.010404114559470677
38,3.8,0.000987613642261114
39,3.9,0.0009780396045587052
40,4.0,0.00097723847674739
41,4.1,0.0023832591604067057
42,4.2,0.04784064616069269
43,4.3,0.235411454827689
44,4.4,0.3077289974770873
45,4.5,0.12426171225021962
46,4.6,0.0764936065156022
47,4.7,0.05449430825816537
48,4.8,0.04081847433335414
49,4.9,0.16651748459653612
50,5.0,0.028063790347169437
51,5.1,0.0015238777336079887
52,5.2,0.004907143756526778
53,5.3,0.19601186039920526
54,5.4,0.32426795553312904
55,5.5,0.04873810866858793
56,5.6,0.015247636272168404
57,5.7,0.26390349982629147
58,5.8,0.42866162215337267
59,5.9,0.33593789942107677
60,6.0,0.145864306198098
61,6.1,0.08151119186753476
62,6.2,0.4298226170732835
63,6.3,0.10515346012786814
64,6.4,0.0013011522526956058
65,6.5,5.507585621514309e-05
66,6.6,0.0022415766067590895
67,6.7,0.003827641983009495
68,6.8,8.453266173603783e-05
69,6.9,2.2076237265098153e-05
70,7.0,0.0003647080634036707
71,7.1,0.013660494593761868
72,7.2,0.02322778944938551
73,7.3,0.0007465811364240102
74,7.4,3.775813519616545e-06
75,7.5,1.2957977284871425e-07
76,7.6,5.246212409987361e-05
77,7.7,0.0526229149321482
78,7.8,0.37446483639648853
79,7.9,0.33465450978567257
80,8.0,0.6533286928915523
81,8.1,0.3676478457182656
82,8.2,0.3723223267673703
83,8.3,0.1613438478035707
84,8.4,0.17944514464802255
85,8.5,0.015548981657798075
86,8.6,0.027318161338241154
87,8.7,0.33483169610999863
88,8.8,0.2876668162834824
89,8.9,0.5736272252699565
90,9.0,0.8937336718981562
91,9.1,0.6501449187000203
92,9.2,0.8580088771769211
93,9.3,0.24042517566716876
94,9.4,0.24989242378847804
95,9.5,0.020213392931575425
96,9.6,0.36293797210468415
97,9.7,0.08042711342173041
98,9.8,2.333967092775254e-06
99,9.9,8.82246850232422e-09
100,10.0,2.369988282016466e-08
101,10.1,1.6643350171152365e-08
102,10.2,2.4220323268756396e-09
103,10.3,3.498130932837129e-10
104,10.4,2.7096661467267908e-11
105,10.5,6.8151562612109165e-09
106,10.6,6.710873065510723e-07
107,10.7,4.3113232132319025e-08
108,10.8,1.382180822068138e-08
109,10.9,8.86287428248885e-07
110,11.0,2.5449037662187547e-05
