,t,p-value
0,0.0,0.215128507107785
1,0.1,0.09469444351183316
2,0.2,0.27660491408291676
3,0.3,0.2914167682351165
4,0.4,0.1263594881744279
5,0.5,0.055143047652006706
6,0.6,0.18225273451250162
7,0.7,0.724330986775508
8,0.8,0.614655207601148
9,0.9,0.25766607533012315
10,1.0,0.13376014687639282
11,1.1,0.01960813586284702
12,1.2,0.009935130998611905
13,1.3,0.023143752816230538
14,1.4,0.09356204626715414
15,1.5,0.24814253537561248
16,1.6,0.4667505330414403
17,1.7,0.9006068819248516
18,1.8,0.8735499874594365
19,1.9,0.9491172476002063
20,2.0,0.7046971036831289
21,2.1,0.2844278872016577
22,2.2,0.03764386716407971
23,2.3,0.009644706759463039
24,2.4,0.006056283848660101
25,2.5,0.007030840227617534
26,2.6,0.01511986585031003
27,2.7,0.028193898269004133
28,2.8,0.03165107770691942
29,2.9,0.02086792302259913
30,3.0,0.01683691346372109
31,3.1,0.01575455469982312
32,3.2,0.027995329021618786
33,3.3,0.055577148163611687
34,3.4,0.026763126878660424
35,3.5,0.009211007182419644
36,3.6,0.004196624263748847
37,3.7,0.0026329788701434033
38,3.8,0.27735672313732496
39,3.9,0.7786788188880595
40,4.0,0.9375334141497182
41,4.1,0.858863293311145
42,4.2,0.7121769593443179
43,4.3,0.690734912563123
44,4.4,0.6779929119912815
45,4.5,0.6520386427731368
46,4.6,0.6506153025409758
47,4.7,0.6632061549781747
48,4.8,0.8038629794972436
49,4.9,0.27116726390735296
50,5.0,0.022281166272197717
51,5.1,0.02292313626935109
52,5.2,0.026511639250021923
53,5.3,0.04533199030951465
54,5.4,0.07154545978346588
55,5.5,0.06648371355143386
56,5.6,0.054204500625810025
57,5.7,0.07558072041997971
58,5.8,0.08653370014881745
59,5.9,0.08946300765024309
60,6.0,0.11097944465879356
61,6.1,0.1392285768956324
62,6.2,0.15265971565968794
63,6.3,0.20925965769466548
64,6.4,0.29495387323617006
65,6.5,0.33727001720742356
66,6.6,0.400532694527689
67,6.7,0.43171644454000535
68,6.8,0.5331445836543023
69,6.9,0.6730351585915402
70,7.0,0.7563559153763196
71,7.1,0.9491009605936571
72,7.2,0.6000379643860927
73,7.3,0.4295833819560021
74,7.4,0.5308502499576295
75,7.5,0.5492230793115196
76,7.6,0.5157365927353281
77,7.7,0.6992585550416157
78,7.8,0.817224089558913
79,7.9,0.8132899809654257
80,8.0,0.7910317219440378
81,8.1,0.7271881994832347
82,8.2,0.6876054663308087
83,8.3,0.6196858392638198
84,8.4,0.44645836347309975
85,8.5,0.13281176758725516
86,8.6,0.037605285410340646
87,8.7,0.022481563594754474
88,8.8,0.01082409462365619
89,8.9,0.006861064050785445
90,9.0,0.04602853127952043
91,9.1,0.055909343875933014
92,9.2,0.07876452466170435
93,9.3,0.05365724918224792
94,9.4,0.03959327988943725
95,9.5,0.11240851534738909
96,9.6,0.371917426352553
97,9.7,0.5353409368573837
98,9.8,0.6511513582990003
99,9.9,0.781168639347763
100,10.0,0.9439638419000732
101,10.1,0.5704580753652113
102,10.2,0.38117839042142576
103,10.3,0.2123957165374224
104,10.4,0.10968908061424801
105,10.5,0.06099688521622109
106,10.6,0.02875021237518906
107,10.7,0.0035081423035623095
108,10.8,6.986909968394273e-05
109,10.9,1.9146094378058126e-06
110,11.0,1.8992389406214785e-07
