,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,0.28399185876999244
3,0.3,0.00574746873847031
4,0.4,1.6292317314132255e-05
5,0.5,4.190060782367383e-06
6,0.6,0.0001440197353200114
7,0.7,9.680373424598007e-05
8,0.8,0.009797661020931875
9,0.9,0.045629054766114806
10,1.0,0.005596323233152451
11,1.1,8.771586021134083e-05
12,1.2,8.771586021134083e-05
13,1.3,8.771586021134083e-05
14,1.4,2.8371049278973422e-05
15,1.5,5.526198891722232e-06
16,1.6,7.432724610954916e-06
17,1.7,1.876541540766295e-05
18,1.8,0.0003075416707280157
19,1.9,0.0021609317726762425
20,2.0,0.025044237802001625
21,2.1,0.025044237802001625
22,2.2,0.18244169473507074
23,2.3,0.3183011743978172
24,2.4,0.3183011743978172
25,2.5,0.3183011743978172
26,2.6,0.3183011743978172
27,2.7,0.43389013035140833
28,2.8,1.0
29,2.9,1.0
30,3.0,0.8449499469663367
31,3.1,0.3183011743978172
32,3.2,0.3183011743978172
33,3.3,0.3183011743978172
34,3.4,0.36141908876708295
35,3.5,0.8368785820998073
36,3.6,0.9659218404996806
37,3.7,0.96015654150384
38,3.8,0.987020298186525
39,3.9,0.5198439744442224
40,4.0,0.2698126525863526
41,4.1,0.3686417741967004
42,4.2,0.4732352494743841
43,4.3,0.74305822265189
44,4.4,0.42897587238107926
45,4.5,0.198899929783328
46,4.6,0.053644964511574585
47,4.7,0.2938283226445598
48,4.8,0.1751928484717961
49,4.9,0.04337254348909899
50,5.0,0.18113698126299962
51,5.1,0.16749257719925525
52,5.2,0.0690749028516178
53,5.3,0.03952555266954479
54,5.4,0.12307717151847741
55,5.5,0.12683644091241175
56,5.6,0.040370750145904626
57,5.7,0.025044237802001604
58,5.8,0.025044237802001604
59,5.9,0.025044237802001604
60,6.0,0.056639342313968145
61,6.1,0.09153988072647015
62,6.2,0.045352530722504766
63,6.3,0.48199888321589734
64,6.4,0.916234061347174
65,6.5,0.9920000257510202
66,6.6,0.8069711209528114
67,6.7,0.3386367641300192
68,6.8,0.15675048194979813
69,6.9,0.4420830133684337
70,7.0,0.11524719675857123
71,7.1,0.06720147561475696
72,7.2,0.27527058771920204
73,7.3,0.30806462666496764
74,7.4,0.20061133841949327
75,7.5,0.3841628928138474
76,7.6,0.6911163165032296
77,7.7,0.8238141111933226
78,7.8,0.7998914210312646
79,7.9,0.6786703722748643
80,8.0,0.837024401921731
81,8.1,0.712673559857483
82,8.2,0.2637514476397572
83,8.3,0.25966504805601454
84,8.4,0.4749689035581308
85,8.5,0.35804139815653513
86,8.6,0.4828393639976907
87,8.7,0.2833976762351962
88,8.8,0.0734433719549499
89,8.9,0.11780962574398272
90,9.0,0.41239217215029333
91,9.1,0.40811495083132154
92,9.2,0.3918098579866047
93,9.3,0.09048615681982707
94,9.4,0.008367438127391595
95,9.5,0.00958882714323275
96,9.6,0.006642428103656957
97,9.7,0.001759665304907793
98,9.8,0.0002501003927887143
99,9.9,0.00015212638383872782
100,10.0,0.0004387838431073526
101,10.1,2.938694933313909e-05
102,10.2,1.3168727586520736e-07
103,10.3,3.8936953955143245e-10
104,10.4,5.3643880247545685e-12
105,10.5,7.776610737096846e-10
106,10.6,9.877294310221825e-08
107,10.7,1.2034964424915757e-07
108,10.8,1.3724682035088823e-08
109,10.9,8.305046312451026e-09
110,11.0,1.6714497265830156e-08
111,11.1,9.29871090371187e-09
112,11.2,1.1163117765608279e-08
113,11.3,9.049170154694666e-07
114,11.4,6.763689094208532e-07
115,11.5,0.00011058342399783034
116,11.6,0.00018584971627013384
117,11.7,0.0003906596719725592
118,11.8,0.0021910158309048997
119,11.9,0.03840609372005728
120,12.0,0.011481890972905875
121,12.1,0.002213553874953267
122,12.2,0.0014450527403463353
123,12.3,0.0014450527403463353
124,12.4,0.0014450527403463353
125,12.5,0.0014450527403463353
126,12.6,0.0014450527403463353
127,12.7,0.0014450527403463353
128,12.8,0.0014450527403463353
129,12.9,0.0014450527403463353
130,13.0,0.00482299304799091
131,13.1,0.020954668399135457
132,13.2,0.06779223678779825
133,13.3,0.22507308631249429
134,13.4,0.3183011743978172
135,13.5,0.3102634380963886
136,13.6,0.06779223678779825
137,13.7,0.06779223678779825
138,13.8,0.06779223678779825
139,13.9,0.06779223678779825
140,14.0,0.0703905362707558
141,14.1,0.31730070334658417
142,14.2,0.3183011743978172
143,14.3,0.36236943756365714
144,14.4,0.44913398843793806
145,14.5,0.00269633812686302
146,14.6,0.00148395683826715
147,14.7,0.003071481338338316
148,14.8,0.001853074228213558
149,14.9,0.0017940197359669072
150,15.0,0.008876433080931317
151,15.1,0.044116273772650726
152,15.2,0.014331528273452526
153,15.3,0.026228228506744986
154,15.4,0.01135302506035371
155,15.5,0.010948412989485606
156,15.6,0.009807794978794871
157,15.7,0.010039557839320609
158,15.8,0.016737511034957166
159,15.9,0.023063890774836976
160,16.0,0.03235248905382112
161,16.1,0.16765418179953154
162,16.2,0.9049922654238085
163,16.3,0.3571620551037604
164,16.4,0.12524411148268894
165,16.5,0.06021688359787091
166,16.6,0.0347419354110282
167,16.7,0.027079936021458723
168,16.8,0.0027959187662374234
169,16.9,0.005447407500193326
170,17.0,0.012863249885278509
171,17.1,0.009545994579574198
172,17.2,0.009545994579574198
173,17.3,0.03327310023624242
174,17.4,0.23961043820408057
175,17.5,0.050062038959527703
176,17.6,0.009545994579574198
177,17.7,0.009545994579574198
178,17.8,0.014055145947067953
179,17.9,0.027933975227290277
180,18.0,0.004611653873958375
