,t,p-value
0,0.0,0.022530626728272135
1,0.1,0.0012656001889844155
2,0.2,0.019782072935321512
3,0.3,0.4687073640327891
4,0.4,0.2372550919284755
5,0.5,0.018620969741855748
6,0.6,0.009902076705393073
7,0.7,0.0457965061093891
8,0.8,0.39845569267869985
9,0.9,0.8163679416239069
10,1.0,0.9106151639147138
11,1.1,0.5746498731658654
12,1.2,0.3486684673839665
13,1.3,0.06301434817997363
14,1.4,0.0052819229693430595
15,1.5,0.0012535768890789623
16,1.6,0.0007015681527403258
17,1.7,0.00011518240798862906
18,1.8,4.840406061543563e-05
19,1.9,2.585728040894861e-05
20,2.0,9.39882117114344e-06
21,2.1,7.267950656112975e-07
22,2.2,9.607061282664996e-08
23,2.3,9.068710491006737e-08
24,2.4,2.0915122723837261e-07
25,2.5,3.3276981364406246e-07
26,2.6,3.798626092121495e-07
27,2.7,4.416309724464047e-07
28,2.8,4.6171551900243525e-07
29,2.9,4.069422503286097e-06
30,3.0,7.033033025936513e-05
31,3.1,0.0009185774199489075
32,3.2,0.011663713777445971
33,3.3,0.08267712870815155
34,3.4,0.1746952778119097
35,3.5,0.29870169954872056
36,3.6,0.4225345832926668
37,3.7,0.5205782230914151
38,3.8,0.8163740076042246
39,3.9,0.47568483375461823
40,4.0,0.5101268737671041
41,4.1,0.5755850865067187
42,4.2,0.15591414837959544
43,4.3,0.0723056475411008
44,4.4,0.04835662494370442
45,4.5,0.027109676935032714
46,4.6,0.006036787865425094
47,4.7,0.0009117799556345248
48,4.8,0.0003407410671461093
49,4.9,0.00017152449716625206
50,5.0,0.00011358592116894809
51,5.1,0.00024769841137712667
52,5.2,0.00020943614930514934
53,5.3,0.0001947467343868172
54,5.4,0.0002718962461037812
55,5.5,0.00030250154342083263
56,5.6,0.0007833669645821293
57,5.7,0.001868394785546914
58,5.8,0.001422659848055286
59,5.9,0.00037865949336134775
60,6.0,0.00011267189500299258
61,6.1,3.780010769657365e-05
62,6.2,1.3148079000230198e-05
63,6.3,3.852287756167403e-06
64,6.4,1.0521503922842087e-06
65,6.5,5.653934287167306e-07
66,6.6,1.0541047228920085e-06
67,6.7,1.4687404982015381e-06
68,6.8,8.869656655241093e-07
69,6.9,7.757371451505834e-07
70,7.0,7.264766494144424e-07
71,7.1,5.223226331935134e-07
72,7.2,7.025086261075452e-07
73,7.3,9.146182199850301e-07
74,7.4,9.316421048525415e-07
75,7.5,4.901085746038056e-07
76,7.6,3.28962440573951e-07
77,7.7,3.5036862819622347e-07
78,7.8,6.514086194310774e-07
79,7.9,1.0794413076516487e-06
80,8.0,1.0726992847303534e-06
81,8.1,1.3394224602727226e-06
82,8.2,2.0569052936339205e-06
83,8.3,2.1217130133919912e-06
84,8.4,2.0238198903143644e-06
85,8.5,2.229127032287759e-06
86,8.6,1.5607333051841343e-05
87,8.7,0.00012373539275386354
88,8.8,0.00023443783011034151
89,8.9,0.0003548040134740835
90,9.0,0.0003532715141804235
91,9.1,3.774209165197105e-05
92,9.2,1.2789693564213992e-05
93,9.3,1.5998119255391517e-05
94,9.4,2.112957561431159e-05
95,9.5,4.469057342038171e-05
96,9.6,3.6056126065101936e-05
97,9.7,1.92384138943462e-05
98,9.8,9.272026931104965e-05
99,9.9,0.00025057676788925286
100,10.0,0.0002886041808484648
101,10.1,0.00028376324768517275
102,10.2,0.00023989871213165722
103,10.3,0.00018746887665667725
104,10.4,0.00012210753819878937
105,10.5,6.384791092702739e-05
106,10.6,3.907961246591824e-05
107,10.7,2.7330864026630856e-05
108,10.8,2.3359358149501438e-05
109,10.9,0.00011408426159884847
110,11.0,9.04945561629056e-05
111,11.1,3.4490674074825644e-05
112,11.2,3.350509169826683e-05
113,11.3,5.061634962538492e-05
114,11.4,1.8039591751262186e-05
115,11.5,1.8752469419723164e-05
116,11.6,7.084729360028541e-05
117,11.7,0.0005018427732803951
118,11.8,0.000769465846174259
119,11.9,0.0021098824636863432
120,12.0,0.0015547002996530355
121,12.1,0.0002816572257502462
122,12.2,7.844153229639585e-05
123,12.3,2.2940559103285998e-05
124,12.4,4.9004616534241344e-06
125,12.5,1.642455206205953e-06
126,12.6,3.8873714618234406e-07
127,12.7,5.583769820726086e-08
128,12.8,4.455728672327406e-09
129,12.9,6.011384350769124e-10
130,13.0,1.62764132258825e-09
131,13.1,2.7666670365294807e-08
132,13.2,6.456898407391932e-08
133,13.3,1.6012682879108494e-08
134,13.4,2.014840123174416e-09
135,13.5,1.657282008232346e-09
136,13.6,3.2507983204110177e-09
137,13.7,2.02945501470878e-09
138,13.8,1.630772807633805e-09
139,13.9,1.311831083391559e-09
140,14.0,1.3820714237873685e-09
141,14.1,5.137863783282153e-09
142,14.2,6.500617501241322e-08
143,14.3,8.325175170456969e-07
144,14.4,2.8179870972323217e-06
145,14.5,5.058296407443063e-06
146,14.6,5.109912515218645e-06
147,14.7,9.939997540933226e-06
148,14.8,3.418538000738344e-05
149,14.9,9.511159148897088e-05
150,15.0,0.0003862441971544432
151,15.1,0.0008893725897189532
152,15.2,0.0011539082345402222
153,15.3,0.0004574106431473163
154,15.4,0.0003296722157524004
155,15.5,0.0004980578600228849
156,15.6,0.0034714461336968205
157,15.7,0.02474741714570717
158,15.8,0.09374322633510476
159,15.9,0.5633481925742485
160,16.0,0.324443009030716
161,16.1,0.0577465869658295
162,16.2,0.05013075964191283
163,16.3,0.029385472665509553
164,16.4,0.0061843859526335985
165,16.5,0.0017682438797028317
166,16.6,0.0005310333701840421
167,16.7,0.00010837083635764036
168,16.8,3.55064575470124e-05
169,16.9,4.854663039129564e-06
170,17.0,1.5163681963677742e-05
171,17.1,0.0008716125644374753
172,17.2,0.41235452541066175
173,17.3,0.18159350674502592
174,17.4,0.07106405636710406
175,17.5,0.052674566247904266
176,17.6,0.0361033909042216
177,17.7,0.01537503893825832
178,17.8,0.004157419787747049
179,17.9,0.0019316055953171724
180,18.0,0.0011076770732615592
