,t,p-value
0,0.0,1.0
1,0.1,1.0
2,0.2,0.28399185876999244
3,0.3,0.00574746873847031
4,0.4,1.6292317314132255e-05
5,0.5,2.8477780912735026e-06
6,0.6,6.758854533697067e-08
7,0.7,2.7092610458657863e-07
8,0.8,1.764341245896594e-05
9,0.9,3.264621855173528e-05
10,1.0,3.165158957736308e-05
11,1.1,5.728520595723344e-05
12,1.2,0.0002230637813909763
13,1.3,0.0002230637813909763
14,1.4,0.00011894642423300255
15,1.5,5.526198891722232e-06
16,1.6,7.432724610954916e-06
17,1.7,9.269315086099556e-06
18,1.8,0.0003075416707280157
19,1.9,8.771586021134083e-05
20,2.0,8.771586021134083e-05
21,2.1,0.001840551298818491
22,2.2,0.025044237802001625
23,2.3,0.025044237802001625
24,2.4,0.025044237802001625
25,2.5,0.02628061310136766
26,2.6,0.02752781531726596
27,2.7,0.026609909627694432
28,2.8,0.025091842670200405
29,2.9,0.025044237802001625
30,3.0,0.015555634290616417
31,3.1,0.02303571694828488
32,3.2,0.06779223678779825
33,3.3,0.06779223678779825
34,3.4,0.06779223678779825
35,3.5,0.06779223678779825
36,3.6,0.06788598721145672
37,3.7,0.24831963718576233
38,3.8,0.3183011743978172
39,3.9,0.3183011743978172
40,4.0,0.25474899916414273
41,4.1,0.04776391193517034
42,4.2,0.025044237802001625
43,4.3,0.025044237802001625
44,4.4,0.053370317876305785
45,4.5,0.19731625843097514
46,4.6,0.037845822779842546
47,4.7,0.004221679899874834
48,4.8,0.00018625073493648984
49,4.9,1.7750996044030486e-05
50,5.0,1.764341245896594e-05
51,5.1,5.333764226329548e-05
52,5.2,5.029259016972636e-06
53,5.3,3.0645397266900923e-07
54,5.4,0.0007741325737721115
55,5.5,0.010942846539608848
56,5.6,0.010439856697406413
57,5.7,0.025044237802001604
58,5.8,0.03992333308901704
59,5.9,0.4081912277687526
60,6.0,0.29007014791633035
61,6.1,0.19731625843097514
62,6.2,0.22724441981098514
63,6.3,0.736418548719284
64,6.4,0.5911213550974989
65,6.5,0.5013000001869317
66,6.6,0.36679769318800237
67,6.7,0.0633925589106026
68,6.8,0.0435034711954219
69,6.9,0.11495205548586296
70,7.0,0.3940190157156004
71,7.1,0.21690658416765488
72,7.2,0.12162472825851084
73,7.3,0.01960518674081082
74,7.4,0.006573960161595088
75,7.5,0.08494081324274404
76,7.6,0.8945404083515639
77,7.7,0.5021039289372777
78,7.8,0.17698640083554976
79,7.9,0.0749592627350782
80,8.0,0.09511310423929782
81,8.1,0.1717311671876507
82,8.2,0.17166955770956166
83,8.3,0.22456170562843478
84,8.4,0.5487816883494898
85,8.5,0.820911312911496
86,8.6,0.18570000990551738
87,8.7,0.3084939471860801
88,8.8,0.5434526823653281
89,8.9,0.13171233427665077
90,9.0,0.027976577794006186
91,9.1,0.02449934890900698
92,9.2,0.02271944059989464
93,9.3,0.016549186837154513
94,9.4,0.002166075587753789
95,9.5,6.478568465436449e-05
96,9.6,0.00024095047000451158
97,9.7,0.0005955923969215791
98,9.8,0.00040257244090170135
99,9.9,0.0010281772879254035
100,10.0,0.0005854457287774326
101,10.1,0.013348603929275747
102,10.2,0.07130378267608888
103,10.3,0.17332929324340707
104,10.4,0.07066461151081126
105,10.5,0.0034564878126092345
106,10.6,0.00012121343973299671
107,10.7,2.0377104652042364e-05
108,10.8,2.5153065542307755e-05
109,10.9,4.600833310802713e-06
110,11.0,1.418333436947093e-05
111,11.1,1.232205388084773e-05
112,11.2,5.2155909172286337e-05
113,11.3,0.0002243401973309456
114,11.4,0.014138394937757412
115,11.5,0.9168068337089281
116,11.6,0.7926733053449668
117,11.7,0.3770017952023861
118,11.8,0.2131004846652259
119,11.9,0.9134443125327709
120,12.0,0.7597197521531273
121,12.1,1.0
122,12.2,1.0
123,12.3,0.8177099991099164
124,12.4,0.3183011743978172
125,12.5,0.3183011743978172
126,12.6,0.3183011743978172
127,12.7,0.3183011743978172
128,12.8,0.3183011743978172
129,12.9,0.3183011743978172
130,13.0,0.6615886247003449
131,13.1,0.2500022044436881
132,13.2,0.06779223678779825
133,13.3,0.0062057510693518374
134,13.4,0.002537427848502907
135,13.5,0.0026898414616470315
136,13.6,0.06779223678779825
137,13.7,0.1875745311543475
138,13.8,0.318301174397817
139,13.9,0.318301174397817
140,14.0,0.8322226794142555
141,14.1,0.31930577368402924
142,14.2,0.318301174397817
143,14.3,0.16970363987190878
144,14.4,0.004574668720422999
145,14.5,0.00011833231882025425
146,14.6,1.8902974807683697e-05
147,14.7,0.0003301402596123891
148,14.8,0.0017940197359669072
149,14.9,0.00038953311845697265
150,15.0,0.0011439993856298392
151,15.1,0.06386633902225461
152,15.2,0.20971308840423464
153,15.3,0.18147377135365592
154,15.4,0.25733609341582425
155,15.5,0.6389583799823039
156,15.6,0.28071384761653523
157,15.7,0.31369992263850777
158,15.8,0.9813485382025868
159,15.9,0.9966761823084248
160,16.0,0.8373001181430092
161,16.1,0.5831776314277409
162,16.2,0.31963953924992666
163,16.3,0.4289946255775783
164,16.4,0.24228870201706582
165,16.5,0.12981056794457863
166,16.6,0.08771161239695957
167,16.7,0.0818094632818698
168,16.8,0.08326191631211531
169,16.9,0.0864150278316695
170,17.0,0.2644078038487906
171,17.1,0.2644078038487906
172,17.2,0.2644078038487906
173,17.3,0.47545476878048787
174,17.4,0.8097153011039719
175,17.5,0.6491828744382251
176,17.6,1.0
177,17.7,1.0
178,17.8,0.901315123393265
179,17.9,0.7989731295371443
180,18.0,0.592565907554863
