,t,p-value
0,0.0,5.9279707516796594e-05
1,0.1,2.031537490821912e-10
2,0.2,6.139520923544469e-10
3,0.3,7.111451695463987e-08
4,0.4,9.98871753964922e-05
5,0.5,0.07691141510077408
6,0.6,0.19990315409274992
7,0.7,0.03255426165520863
8,0.8,0.0015698963898606016
9,0.9,7.82043175511154e-05
10,1.0,6.501369719847271e-05
11,1.1,0.0001524972374571217
12,1.2,0.001392787846020963
13,1.3,0.1641346053633211
14,1.4,0.28002456650623136
15,1.5,0.01974494892748491
16,1.6,0.08831663184470519
17,1.7,0.5844946586558057
18,1.8,0.41993857857379546
19,1.9,0.11993219591303593
20,2.0,0.03752041732154691
21,2.1,0.005722262819207835
22,2.2,0.001787701598716633
23,2.3,0.002756302578916714
24,2.4,0.000709635025717607
25,2.5,0.0013207673700244055
26,2.6,0.003959172969441245
27,2.7,0.011385085728992245
28,2.8,0.014101395166083793
29,2.9,0.016747991404193783
30,3.0,0.023920058922709184
31,3.1,0.025537837590394748
32,3.2,0.06620689126897604
33,3.3,0.13130992054952148
34,3.4,0.14929057023701994
35,3.5,0.14067770010938685
36,3.6,0.11542908581949166
37,3.7,0.09511604128323639
38,3.8,0.0925692665878569
39,3.9,0.13152951803289026
40,4.0,0.20521694839375332
41,4.1,0.22413967184618608
42,4.2,0.3032871116293946
43,4.3,0.26622524594464125
44,4.4,0.11485996168860016
45,4.5,0.0196979885915158
46,4.6,0.0006374422486507022
47,4.7,1.7831391278133113e-05
48,4.8,1.6376958733892044e-06
49,4.9,2.2695072190621818e-07
50,5.0,8.330376004511552e-08
51,5.1,1.0896661757401461e-07
52,5.2,4.244622513644866e-07
53,5.3,9.873326172383027e-07
54,5.4,2.706339900711573e-06
55,5.5,3.7106273521860383e-06
56,5.6,8.980519820832507e-06
57,5.7,3.249964548436794e-05
58,5.8,5.908896952721494e-05
59,5.9,4.682201316507421e-05
60,6.0,4.9422928294022104e-05
61,6.1,0.00010017669919256323
62,6.2,0.00026302368913732883
63,6.3,0.0003618073390792288
64,6.4,0.00021905883732579502
65,6.5,0.00013972613841212875
66,6.6,0.00026783307498935976
67,6.7,0.000642788210895067
68,6.8,0.0007014578356423327
69,6.9,0.0008987531159033056
70,7.0,0.0011246243310932755
71,7.1,0.0010243549346410457
72,7.2,0.0010791709371636463
73,7.3,0.0019466933321932375
74,7.4,0.0034061255455052515
75,7.5,0.004826950669195989
76,7.6,0.007815505535237969
77,7.7,0.012337817279644177
78,7.8,0.0161448489902739
79,7.9,0.00823561802500221
80,8.0,0.0024918048671367385
81,8.1,0.0008246314323200585
82,8.2,0.000473508741575416
83,8.3,0.0002688460267608987
84,8.4,0.00024373546750447637
85,8.5,0.0003694866650398802
86,8.6,0.00031186871568117527
87,8.7,0.0006726349794330853
88,8.8,0.0011207720172456447
89,8.9,0.0015130427270238086
90,9.0,0.002172951701919661
91,9.1,0.002201447293435204
92,9.2,0.10806220175282187
93,9.3,0.07687614138785805
94,9.4,0.011991035149486991
95,9.5,0.007464948938972189
96,9.6,0.005703569924678511
97,9.7,0.002001220405136228
98,9.8,0.0023569445117328125
99,9.9,0.004749617857958465
100,10.0,0.011726928673993027
101,10.1,0.0408186126902173
102,10.2,0.0910778789014158
103,10.3,0.06837244623765479
104,10.4,0.0907149112120355
105,10.5,0.12270090092532022
106,10.6,0.12080945850380335
107,10.7,0.09502664193309546
108,10.8,0.10468747019215588
109,10.9,0.3924390097874596
110,11.0,0.7302676616342597
111,11.1,0.8442264269790609
112,11.2,0.4801338579401684
113,11.3,0.26353384135750163
114,11.4,0.34939016156615565
115,11.5,0.6882006453080307
116,11.6,0.8392628845976853
117,11.7,0.8795940988976785
118,11.8,0.411881738628039
119,11.9,0.12345560377198084
120,12.0,0.0022658722393776877
121,12.1,1.1848733605229778e-05
122,12.2,1.4763187153358795e-06
123,12.3,1.2045180027397878e-07
124,12.4,2.1856163176058504e-08
125,12.5,9.569797091986863e-08
126,12.6,1.028252169279405e-07
127,12.7,4.327786408318251e-07
128,12.8,7.522689697411058e-06
129,12.9,3.4925763056901e-05
130,13.0,9.71588234896493e-05
131,13.1,0.00013222280362182337
132,13.2,0.00022096042750836654
133,13.3,0.002450761380794517
134,13.4,0.0009252772471803169
135,13.5,7.996081553518923e-05
136,13.6,1.0982675651944628e-05
137,13.7,1.8654792272164525e-07
138,13.8,3.5857918548907164e-08
139,13.9,2.4243289841530294e-08
140,14.0,2.174183629849781e-07
141,14.1,1.7946623454368417e-05
142,14.2,0.0009651612174870134
143,14.3,0.004290774113021793
144,14.4,0.019141397844377364
145,14.5,0.05406235882851302
146,14.6,0.13945051264806435
147,14.7,0.2645136474062304
148,14.8,0.4810586568136537
149,14.9,0.6885922848933741
150,15.0,0.9769200114393879
151,15.1,0.870961712572158
152,15.2,0.9422848847857264
153,15.3,0.9924389557844118
154,15.4,0.9368409571047398
155,15.5,0.7586135139846413
156,15.6,0.23957534190090132
157,15.7,0.013390480888996675
158,15.8,0.001049723180933837
159,15.9,0.00045227323822755915
160,16.0,0.00018062276698271952
161,16.1,0.00036825997985246204
162,16.2,0.0009093371599117249
163,16.3,0.0017984385094069314
164,16.4,0.0005274027269823504
165,16.5,3.362015600298159e-05
166,16.6,2.4778797977210045e-06
167,16.7,5.876841898250992e-07
168,16.8,1.0809683569957862e-06
169,16.9,2.7698064931555033e-06
170,17.0,1.756357441573447e-05
171,17.1,0.0005458611301110506
172,17.2,0.045275459074434046
173,17.3,0.9988004387174301
174,17.4,0.6210157449555056
175,17.5,0.48222696695785316
176,17.6,0.3750607046116644
177,17.7,0.2324383086155736
178,17.8,0.0762809239005851
179,17.9,0.027243890977152595
180,18.0,0.01637735829715501
