,t,p-value
0,0.0,0.10283713081159734
1,0.1,0.007976292795514154
2,0.2,0.014915624317444112
3,0.3,0.154662185690411
4,0.4,0.5621650157412162
5,0.5,0.010881379018301291
6,0.6,2.985956926699531e-05
7,0.7,8.449825998042923e-06
8,0.8,0.0029990582811738795
9,0.9,0.29768219296520554
10,1.0,0.17062332021865076
11,1.1,0.01823763041933411
12,1.2,0.0009552917243163544
13,1.3,1.931593180034493e-05
14,1.4,1.1279369586294302e-06
15,1.5,1.4218144027610262e-07
16,1.6,2.6490837695775415e-08
17,1.7,2.2997641020868668e-08
18,1.8,3.549612443821912e-08
19,1.9,0.00026671523478567804
20,2.0,0.1347906495648206
21,2.1,0.187820058143786
22,2.2,0.05781274911425228
23,2.3,0.031978068221734
24,2.4,0.04832561452798192
25,2.5,0.05524515901524354
26,2.6,0.06485859197263702
27,2.7,0.0353869047582646
28,2.8,4.273771905707324e-05
29,2.9,2.0150303477515922e-05
30,3.0,8.817764721036738e-05
31,3.1,0.0009397959992175762
32,3.2,0.013826513882800165
33,3.3,0.058387699532851306
34,3.4,0.10374377902614411
35,3.5,0.23591083573538835
36,3.6,0.36520311933501115
37,3.7,0.24699444547934818
38,3.8,0.08815924219241962
39,3.9,0.02478137685295085
40,4.0,0.007876921703046018
41,4.1,0.0036436426053517083
42,4.2,0.002385568480991999
43,4.3,0.0017244768958789218
44,4.4,0.0007443744502397764
45,4.5,6.717826877644244e-05
46,4.6,5.642442797127316e-07
47,4.7,2.152827611770804e-09
48,4.8,3.32254383192957e-11
49,4.9,5.952773240972499e-12
50,5.0,1.2000505408896208e-11
51,5.1,3.656387925760553e-11
52,5.2,3.6694368608915683e-10
53,5.3,1.7558921199530196e-09
54,5.4,2.6010756045569927e-09
55,5.5,5.975327952090915e-09
56,5.6,2.5744021106587796e-08
57,5.7,4.295862457333875e-08
58,5.8,5.03022631117895e-08
59,5.9,3.8473982138089034e-08
60,6.0,1.1272279023208682e-07
61,6.1,9.166983703489937e-07
62,6.2,5.540106805287474e-06
63,6.3,1.7086988254740102e-05
64,6.4,1.7987046210114537e-05
65,6.5,2.3268395674878592e-05
66,6.6,7.922191963915696e-05
67,6.7,0.00013231539003763292
68,6.8,0.00012005218331336657
69,6.9,0.00012378783206660253
70,7.0,8.645131243329137e-05
71,7.1,3.4429345551285155e-05
72,7.2,1.229284473019582e-05
73,7.3,5.88724463687846e-06
74,7.4,5.601629868694919e-06
75,7.5,6.708243696543e-06
76,7.6,6.0054942786539e-06
77,7.7,3.2744089675605558e-06
78,7.8,2.931157060717458e-06
79,7.9,3.7577948485581276e-06
80,8.0,4.369040926857056e-06
81,8.1,5.144171408264725e-06
82,8.2,9.194689960823406e-06
83,8.3,2.0798440887160943e-05
84,8.4,3.70118162267869e-05
85,8.5,9.90958411032564e-05
86,8.6,0.000325140721937547
87,8.7,0.0009806576290626121
88,8.8,0.001439589708603929
89,8.9,0.002081439934827084
90,9.0,0.002374650774033421
91,9.1,0.0016893058128108417
92,9.2,0.09198454235328682
93,9.3,0.13159536736214228
94,9.4,0.09927549296011282
95,9.5,0.177792306447222
96,9.6,0.14475786604849375
97,9.7,0.04198838659491478
98,9.8,0.020565516189433985
99,9.9,0.014451298180689904
100,10.0,0.016916913154865564
101,10.1,0.026148875365369747
102,10.2,0.04341743498243653
103,10.3,0.030468838724028578
104,10.4,0.017122102798408437
105,10.5,0.010992081053418394
106,10.6,0.00806851216614195
107,10.7,0.00974369219922358
108,10.8,0.02072770103194895
109,10.9,0.16590902436095878
110,11.0,0.13383833952548915
111,11.1,0.09466099328758001
112,11.2,0.09260317069162273
113,11.3,0.07627835586921826
114,11.4,0.02550808394146859
115,11.5,0.03703776638962267
116,11.6,0.2703405610401435
