,"No yielding, eHMI off, Distance 1, Can see other person","No yielding, eHMI off, Distance 1, Cannot see other person","No yielding, eHMI off, Distance 2, Can see other person","No yielding, eHMI off, Distance 2, Cannot see other person","No yielding, eHMI off, Distance 3, Can see other person","No yielding, eHMI off, Distance 3, Cannot see other person","No yielding, eHMI off, Distance 4, Can see other person","No yielding, eHMI off, Distance 4, Cannot see other person","No yielding, eHMI off, Distance 5, Can see other person","No yielding, eHMI off, Distance 5, Cannot see other person","No yielding, eHMI on, Distance 1, Can see other person","No yielding, eHMI on, Distance 1, Cannot see other person","No yielding, eHMI on, Distance 2, Can see other person","No yielding, eHMI on, Distance 2, Cannot see other person","No yielding, eHMI on, Distance 3, Can see other person","No yielding, eHMI on, Distance 3, Cannot see other person","No yielding, eHMI on, Distance 4, Can see other person","No yielding, eHMI on, Distance 4, Cannot see other person","No yielding, eHMI on, Distance 5, Can see other person","No yielding, eHMI on, Distance 5, Cannot see other person","Yes yielding, eHMI off, Distance 1, Can see other person","Yes yielding, eHMI off, Distance 1, Cannot see other person","Yes yielding, eHMI off, Distance 2, Can see other person","Yes yielding, eHMI off, Distance 2, Cannot see other person","Yes yielding, eHMI off, Distance 3, Can see other person","Yes yielding, eHMI off, Distance 3, Cannot see other person","Yes yielding, eHMI off, Distance 4, Can see other person","Yes yielding, eHMI off, Distance 4, Cannot see other person","Yes yielding, eHMI off, Distance 5, Can see other person","Yes yielding, eHMI off, Distance 5, Cannot see other person","Yes yielding, eHMI on, Distance 1, Can see other person","Yes yielding, eHMI on, Distance 1, Cannot see other person","Yes yielding, eHMI on, Distance 2, Can see other person","Yes yielding, eHMI on, Distance 2, Cannot see other person","Yes yielding, eHMI on, Distance 3, Can see other person","Yes yielding, eHMI on, Distance 3, Cannot see other person","Yes yielding, eHMI on, Distance 4, Can see other person","Yes yielding, eHMI on, Distance 4, Cannot see other person","Yes yielding, eHMI on, Distance 5, Can see other person","Yes yielding, eHMI on, Distance 5, Cannot see other person"
"No yielding, eHMI off, Distance 1, Can see other person",1.0,1.0709436593876396,0.9989094484280264,1.1107934949913605,1.0561330916201128,1.1363702359835994,1.1297745507488564,1.1446514670585872,1.0755990272890614,1.024313822015951,1.0655072451534895,1.1226442511411947,1.102090131974428,1.1586233368127818,1.1378536804415693,1.1879715231648336,1.1807342344024598,1.0592189587306624,1.1188866290935462,1.0985026548967494,0.8538110000903304,0.8630418354082755,0.836960351552425,0.8559467442193813,0.7271085595031754,0.8198100531467696,0.7347516833886272,0.897205661057449,0.6319069725936524,0.8626596531548578,0.6978312270970818,0.8017104670683822,0.640705755104966,0.7269557381951293,0.5919944561309566,0.7526537056971065,0.582231670372013,0.7801062973677615,0.5889252394893356,0.7766012788363492
"No yielding, eHMI off, Distance 1, Cannot see other person",0.9337559368639384,1.0,0.9327376278591518,1.0372100205780264,0.9861705444187461,1.0610924543251607,1.0549336940795335,1.0688251030059726,1.0043469774162384,0.9564591125191857,0.9949237159336106,1.0482757344892608,1.0290832036902837,1.0818714193380417,1.062477629394798,1.109275462580459,1.1025176012317939,0.9890519911535951,1.0447670325937783,1.025733375670638,0.7972510902940827,0.8058704375744272,0.7815166971818059,0.7992453540542063,0.6789419341806763,0.7655025042265371,0.6860787464849035,0.8377711126003274,0.590046887205041,0.8055135726263345,0.6516040512309474,0.7486019082710629,0.5982628026121547,0.6787992363770089,0.5527783380028191,0.7027948660973168,0.5436622788400747,0.7284288865520923,0.549912438742184,0.7251560546895679
"No yielding, eHMI off, Distance 2, Can see other person",1.0010917421731167,1.0721128537456248,1.0,1.112006195095466,1.0572861166566585,1.1376108592944973,1.1310079732720228,1.1459011313386949,1.076773304108516,1.025432108613952,1.0666705043487847,1.1238698892155725,1.1032933302500803,1.1598882547723375,1.1390959232913433,1.1892684817771342,1.1820232917613995,1.0603753527384734,1.120108164813464,1.0997019365723808,0.8547431415669999,0.8639840545771547,0.8378740964654413,0.8568812173779875,0.7279023745820191,0.8207050743557349,0.7355538427881511,0.8981851783155844,0.6325968520851193,0.8636014550792531,0.6985930788774214,0.8025857281959098,0.6414052405983727,0.7277493864325061,0.5926407614449659,0.7534754094893686,0.5828673172410822,0.7809579723121117,0.589568194010099,0.7774491272041512
"No yielding, eHMI off, Distance 2, Cannot see other person",0.9002573426195459,0.9641248928955685,0.8992755655593714,1.0,0.950791570514488,1.0230256488785416,1.0170878348163568,1.0304808879597283,0.9683159220314188,0.9221460394165504,0.9592307210637534,1.0106687302394821,0.9921647335385232,1.043059166296066,1.024361130644197,1.0694800865520673,1.0629646642030823,0.9535696450391087,1.0072859034002974,0.9889350809578636,0.7686496220406578,0.7769597493141496,0.753479701966507,0.7705723413747924,0.6545848195742546,0.7380400198986995,0.6614655979726835,0.807715984206792,0.5688788919299237,0.7766156869342915,0.6282276861033557,0.7217457346332566,0.5768000604918463,0.6544472410695774,0.5329473559219583,0.677582025003631,0.5241583363580478,0.7022964222290742,0.5301842711042489,0.6991410035601527
"No yielding, eHMI off, Distance 3, Can see other person",0.9468503618857314,1.014023391450416,0.9458177727351532,1.051755222712886,1.0,1.075972569177245,1.0697274422258443,1.0838136558174565,1.0184313282325883,0.9698719130603597,1.00887592066545,1.0629761154619761,1.0435144402906806,1.0970429257504362,1.0773771690991112,1.124831266618566,1.117978637134841,1.0029218543903553,1.0594182096663305,1.0401176363214237,0.8084312544175476,0.8171714741788515,0.7924762117514226,0.8104534845190348,0.6884630026957945,0.7762374454995795,0.695699897312672,0.8495195048581724,0.5983213456784167,0.8168096047738966,0.6607417499120359,0.7590998458712763,0.6066524760834079,0.6883183037849672,0.5605301650219429,0.7126504336139421,0.5512862677930743,0.7386439299720029,0.5576240761341185,0.735325201907119
"No yielding, eHMI off, Distance 3, Cannot see other person",0.8799948892839818,0.9424249469722084,0.8790352094741446,0.9774925986422895,0.9293917230293905,1.0,0.9941958307021003,1.0072874410229689,0.9465216469331961,0.901390928396979,0.9376409302301254,0.9879212034882944,0.9698336836678058,1.0195826150004017,1.00130542354155,1.045408868999961,1.0390400918767997,0.9321072703156839,0.9846145152905029,0.9666767221740251,0.7513493164939362,0.7594724043975499,0.7365208318994588,0.7532287604123192,0.6398518163174324,0.7214286569527868,0.6465777262747944,0.7895363963672116,0.5560749063853273,0.7591360859677674,0.6140879134282017,0.7055011137056504,0.5638177900272046,0.6397173343473781,0.5209520958796922,0.6623314144141039,0.5123608943066473,0.6864895547818802,0.5182512009209604,0.6834051563873919
"No yielding, eHMI off, Distance 4, Can see other person",0.8851323472786344,0.9479268750369518,0.8841670648059051,0.983199253563541,0.9348175624243514,1.0058380543537393,1.0,1.0131680398535,0.9520474917549828,0.906653297630928,0.9431149289450995,0.9936887411714704,0.9754956254271455,1.0255349937249016,1.0071510990288794,1.0515120227990638,1.0451060644088905,0.9375489632233024,0.9903627483482496,0.9723202334205715,0.7557357346422726,0.7639062455745878,0.740820680548749,0.7576261508564059,0.6435873059994324,0.7256403966644223,0.6503524821847037,0.7941457527634588,0.5593213019135553,0.7635679636995321,0.6176729920447699,0.7096198675540875,0.5671093889309885,0.6434520389163273,0.5239934425311321,0.6661981412116424,0.51535208505634,0.6904973181159711,0.5212767796008276,0.6873949128360071
"No yielding, eHMI off, Distance 4, Cannot see other person",0.8736283740322298,0.9356067678309498,0.8726756372356083,0.97042071491488,0.9226678355937111,0.9927652815609733,0.9870031037937164,1.0,0.9396738293211907,0.894869618826534,0.9308573621030034,0.9807738717411122,0.9628172100337852,1.0122062218555472,0.9940612607307566,1.037845630179085,1.0315229293652106,0.9253637366599802,0.9774911065013975,0.9596830882675349,0.7459135157397474,0.753977835389523,0.7311923110561885,0.7477793624105591,0.6352226685836759,0.7162093237458883,0.6418999184762502,0.7838243228421311,0.5520518610066214,0.7536439501288859,0.6096451602777393,0.7003970117895703,0.5597387270654435,0.6350891595528102,0.5171831541457818,0.6575396331174956,0.5086541074971709,0.6815229961417006,0.5145017994016099,0.67846091250115
"No yielding, eHMI off, Distance 5, Can see other person",0.9297144889768066,0.9956718370105306,0.9287005873793664,1.0327208065546538,0.981902237567088,1.0564998732359454,1.0503677691084743,1.0641990537529264,1.0,0.9523194015874394,0.9906175239289615,1.0437386262524857,1.024629163854987,1.077188903501498,1.0578790530421123,1.1044743375781918,1.097745725354904,0.9847712129308231,1.0402451105906882,1.0212938344369968,0.7938004576317578,0.8023824989722101,0.7781341655374113,0.7957860898932836,0.6760033628291567,0.7621892846193976,0.683109285846506,0.8341451026771242,0.5874930681057885,0.8020271785937779,0.6487838026926214,0.745361837197838,0.5956734236919126,0.6758612826448419,0.5503858232588948,0.6997530553686853,0.5413092198860285,0.7252761276048572,0.5475323280773712,0.722017461092071
"No yielding, eHMI off, Distance 5, Cannot see other person",0.9762633076959766,1.0455229992698103,0.9751986422111086,1.0844269315874397,1.0310639853922292,1.1093965653486064,1.1029574398648145,1.1174812273896686,1.050067864135794,1.0,1.0402156275275733,1.0959963899849754,1.0759301576204505,1.131121451170596,1.1108447977419271,1.1597730086535278,1.152707509187622,1.0340766042246847,1.092327961455667,1.0724278353823125,0.8335443510953957,0.8425560769156897,0.8170936812169578,0.8356293997232153,0.7098494073546269,0.8003504741674797,0.7173111087601681,0.8759089663475004,0.6169075912204299,0.8421829664048255,0.6812670219793393,0.7826805123946651,0.6254975197386224,0.7097002135189473,0.5779424658800884,0.7347881962734913,0.5684114163627348,0.7615891542227119,0.574946102289504,0.7581673332376997
