   dataset  yielding  eHMIOn  camera  yaw_forward_frac_15_count  yaw_forward_frac_15_mean  yaw_forward_frac_15_std  yaw_forward_frac_15__sem  yaw_mean_count  yaw_mean_mean  yaw_mean_std  yaw_mean__sem  yaw_abs_mean_count  yaw_abs_mean_mean  yaw_abs_mean_std  yaw_abs_mean__sem  yaw_sd_count  yaw_sd_mean  yaw_sd_std  yaw_sd__sem  yaw_entropy_count  yaw_entropy_mean  yaw_entropy_std  yaw_entropy__sem  yaw_speed_mean_count  yaw_speed_mean_mean  yaw_speed_mean_std  yaw_speed_mean__sem  head_turn_count_15_count  head_turn_count_15_mean  head_turn_count_15_std  head_turn_count_15__sem  head_turn_dwell_mean_s_15_count  head_turn_dwell_mean_s_15_mean  head_turn_dwell_mean_s_15_std  head_turn_dwell_mean_s_15__sem
  shuffled         0       0       0                         50                  0.901696                 0.106039                  0.014996              50       1.680608      5.184153       0.733150                  50           6.310536          3.350701           0.473861            50     7.215930    4.747128     0.671345                 50          1.213446         0.450921          0.063770                    50             6.660224            3.458472             0.489102                        50                 1.472000                1.069625                 0.151268                               46                        1.902643                       1.707455                        0.251750
  shuffled         0       0       1                         50                  0.916487                 0.084464                  0.011945              50       1.314337      4.744460       0.670968                  50           6.227572          2.948197           0.416938            50     7.455327    4.513767     0.638343                 50          1.221789         0.440344          0.062274                    50             7.843833            3.926159             0.555243                        50                 1.644000                1.183761                 0.167409                               45                        1.166460                       0.852499                        0.127083
  shuffled         0       1       0                         50                  0.909108                 0.101637                  0.014374              50       1.273136      5.065643       0.716390                  50           6.305016          2.905077           0.410840            50     7.052613    4.166099     0.589175                 50          1.177269         0.426098          0.060259                    50            11.748519           35.363728             5.001186                        50                 1.464000                1.091294                 0.154332                               46                        1.737717                       1.672198                        0.246552
  shuffled         0       1       1                         50                  0.928051                 0.069416                  0.009817              50       0.981161      3.973733       0.561971                  50           5.660509          2.258068           0.319339            50     8.001368    4.041389     0.571539                 50          1.167094         0.392324          0.055483                    50            10.195064           14.612776             2.066559                        50                 1.873333                1.475637                 0.208687                               48                        1.038237                       0.843485                        0.121747
  shuffled         1       0       0                         50                  0.912812                 0.100911                  0.014271              50       1.257807      4.935284       0.697955                  50           6.020841          3.054717           0.432002            50     6.599261    4.369785     0.617981                 50          1.147373         0.417432          0.059034                    50             6.144994            3.719322             0.525992                        50                 1.693333                1.447635                 0.204726                               47                        1.929785                       2.236920                        0.326288
  shuffled         1       0       1                         50                  0.933446                 0.075109                  0.010622              50       1.393081      3.663014       0.518028                  50           5.554925          2.499024           0.353415            50     6.645296    3.710087     0.524686                 50          1.196963         0.420782          0.059508                    50            22.491824          109.817870            15.530592                        50                 1.952000                1.395363                 0.197334                               48                        1.148888                       1.020247                        0.147260
  shuffled         1       1       0                         50                  0.914265                 0.098243                  0.013894              50       1.510872      4.962447       0.701796                  50           6.237172          2.907509           0.411184            50     6.593629    3.657755     0.517285                 50          1.173560         0.437904          0.061929                    50             5.944264            2.821592             0.399033                        50                 1.736000                1.363932                 0.192889                               47                        1.449564                       1.123682                        0.163906
  shuffled         1       1       1                         50                  0.912014                 0.087996                  0.012445              50       1.356415      5.147573       0.727977                  50           6.345339          3.256771           0.460577            50     8.142174    5.688907     0.804533                 50          1.267773         0.439565          0.062164                    50             7.629959            3.835149             0.542372                        50                 1.896000                1.334772                 0.188765                               49                        1.620335                       1.827758                        0.261108
unshuffled         0       0       0                         50                  0.901632                 0.116582                  0.016487              50       0.045394      4.631582       0.655005                  50           6.221894          3.207319           0.453583            50     7.182627    4.025310     0.569265                 50          1.248515         0.436534          0.061735                    50             6.310565            3.320417             0.469578                        50                 1.424000                1.204509                 0.170343                               47                        1.795635                       1.720708                        0.250991
unshuffled         0       0       1                         50                  0.885094                 0.144400                  0.020421              50       0.627074      4.408240       0.623419                  50           6.544311          3.751631           0.530561            50     7.876045    4.635612     0.655574                 50          1.312870         0.433265          0.061273                    50             7.499690            3.413127             0.482689                        50                 1.496000                1.087397                 0.153781                               44                        1.758857                       1.786603                        0.269341
unshuffled         0       1       0                         50                  0.877557                 0.147761                  0.020897              50       0.089736      4.966405       0.702356                  50           7.116527          4.724803           0.668188            50     8.054490    5.781915     0.817686                 50          1.272696         0.502839          0.071112                    50             6.491690            3.413392             0.482726                        50                 1.476000                1.158387                 0.163821                               46                        1.831213                       1.617154                        0.238436
unshuffled         0       1       1                         50                  0.902737                 0.118942                  0.016821              50       0.286002      4.020023       0.568517                  50           6.655888          3.593199           0.508155            50     9.364018    5.916957     0.836784                 50          1.251552         0.421293          0.059580                    50             9.419153            5.917916             0.836920                        50                 1.613333                1.073511                 0.151817                               48                        1.349534                       1.321194                        0.190698
unshuffled         1       0       0                         50                  0.937594                 0.089718                  0.012688              50       0.371043      3.457591       0.488977                  50           5.241814          2.425664           0.343041            50     6.947999    3.956286     0.559503                 50          1.066943         0.374918          0.053021                    50             5.764516            2.955455             0.417964                        50                 1.236667                1.044416                 0.147703                               46                        1.718527                       1.581223                        0.233139
unshuffled         1       0       1                         50                  0.929733                 0.078577                  0.011112              50       0.268119      3.396948       0.480401                  50           5.296941          2.455158           0.347212            50     6.655314    3.835824     0.542467                 50          1.201970         0.427920          0.060517                    50             6.578473            2.991749             0.423097                        50                 1.740000                1.252752                 0.177166                               46                        1.418490                       1.319396                        0.194534
unshuffled         1       1       0                         50                  0.900638                 0.135980                  0.019230              50       0.414098      5.032656       0.711725                  50           6.402871          3.719348           0.525995            50     7.307361    4.671021     0.660582                 50          1.220754         0.419219          0.059286                    50             5.616989            2.524014             0.356949                        50                 1.488000                1.168400                 0.165237                               47                        2.268125                       2.436352                        0.355378
unshuffled         1       1       1                         50                  0.896696                 0.139638                  0.019748              50       0.334078      4.058423       0.573948                  50           6.589789          3.751547           0.530549            50     8.556724    5.117065     0.723662                 50          1.325375         0.453877          0.064188                    50             7.747299            4.670578             0.660519                        50                 1.732000                1.357435                 0.191970                               46                        1.776176                       1.584225                        0.233581
